"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Ecuador","Ecuador",0,"2014-12-29","2015-01-04",7,2015,1,17888474,1327,0,"TBC"
"Ecuador","Ecuador",0,"2015-01-05","2015-01-11",7,2015,2,17888474,1234,0,"TBC"
"Ecuador","Ecuador",0,"2015-01-12","2015-01-18",7,2015,3,17888474,1305,0,"TBC"
"Ecuador","Ecuador",0,"2015-01-19","2015-01-25",7,2015,4,17888474,1176,0,"TBC"
"Ecuador","Ecuador",0,"2015-01-26","2015-02-01",7,2015,5,17888474,1184,0,"TBC"
"Ecuador","Ecuador",0,"2015-02-02","2015-02-08",7,2015,6,17888474,1208,0,"TBC"
"Ecuador","Ecuador",0,"2015-02-09","2015-02-15",7,2015,7,17888474,1301,0,"TBC"
"Ecuador","Ecuador",0,"2015-02-16","2015-02-22",7,2015,8,17888474,1272,0,"TBC"
"Ecuador","Ecuador",0,"2015-02-23","2015-03-01",7,2015,9,17888474,1238,0,"TBC"
"Ecuador","Ecuador",0,"2015-03-02","2015-03-08",7,2015,10,17888474,1332,0,"TBC"
"Ecuador","Ecuador",0,"2015-03-09","2015-03-15",7,2015,11,17888474,1286,0,"TBC"
"Ecuador","Ecuador",0,"2015-03-16","2015-03-22",7,2015,12,17888474,1231,0,"TBC"
"Ecuador","Ecuador",0,"2015-03-23","2015-03-29",7,2015,13,17888474,1180,0,"TBC"
"Ecuador","Ecuador",0,"2015-03-30","2015-04-05",7,2015,14,17888474,1330,0,"TBC"
"Ecuador","Ecuador",0,"2015-04-06","2015-04-12",7,2015,15,17888474,1321,0,"TBC"
"Ecuador","Ecuador",0,"2015-04-13","2015-04-19",7,2015,16,17888474,1253,0,"TBC"
"Ecuador","Ecuador",0,"2015-04-20","2015-04-26",7,2015,17,17888474,1310,0,"TBC"
"Ecuador","Ecuador",0,"2015-04-27","2015-05-03",7,2015,18,17888474,1287,0,"TBC"
"Ecuador","Ecuador",0,"2015-05-04","2015-05-10",7,2015,19,17888474,1288,0,"TBC"
"Ecuador","Ecuador",0,"2015-05-11","2015-05-17",7,2015,20,17888474,1335,0,"TBC"
"Ecuador","Ecuador",0,"2015-05-18","2015-05-24",7,2015,21,17888474,1340,0,"TBC"
"Ecuador","Ecuador",0,"2015-05-25","2015-05-31",7,2015,22,17888474,1366,0,"TBC"
"Ecuador","Ecuador",0,"2015-06-01","2015-06-07",7,2015,23,17888474,1345,0,"TBC"
"Ecuador","Ecuador",0,"2015-06-08","2015-06-14",7,2015,24,17888474,1238,0,"TBC"
"Ecuador","Ecuador",0,"2015-06-15","2015-06-21",7,2015,25,17888474,1322,0,"TBC"
"Ecuador","Ecuador",0,"2015-06-22","2015-06-28",7,2015,26,17888474,1318,0,"TBC"
"Ecuador","Ecuador",0,"2015-06-29","2015-07-05",7,2015,27,17888474,1291,0,"TBC"
"Ecuador","Ecuador",0,"2015-07-06","2015-07-12",7,2015,28,17888474,1243,0,"TBC"
"Ecuador","Ecuador",0,"2015-07-13","2015-07-19",7,2015,29,17888474,1285,0,"TBC"
"Ecuador","Ecuador",0,"2015-07-20","2015-07-26",7,2015,30,17888474,1213,0,"TBC"
"Ecuador","Ecuador",0,"2015-07-27","2015-08-02",7,2015,31,17888474,1236,0,"TBC"
"Ecuador","Ecuador",0,"2015-08-03","2015-08-09",7,2015,32,17888474,1235,0,"TBC"
"Ecuador","Ecuador",0,"2015-08-10","2015-08-16",7,2015,33,17888474,1221,0,"TBC"
"Ecuador","Ecuador",0,"2015-08-17","2015-08-23",7,2015,34,17888474,1252,0,"TBC"
"Ecuador","Ecuador",0,"2015-08-24","2015-08-30",7,2015,35,17888474,1252,0,"TBC"
"Ecuador","Ecuador",0,"2015-08-31","2015-09-06",7,2015,36,17888474,1209,0,"TBC"
"Ecuador","Ecuador",0,"2015-09-07","2015-09-13",7,2015,37,17888474,1166,0,"TBC"
"Ecuador","Ecuador",0,"2015-09-14","2015-09-20",7,2015,38,17888474,1196,0,"TBC"
"Ecuador","Ecuador",0,"2015-09-21","2015-09-27",7,2015,39,17888474,1240,0,"TBC"
"Ecuador","Ecuador",0,"2015-09-28","2015-10-04",7,2015,40,17888474,1252,0,"TBC"
"Ecuador","Ecuador",0,"2015-10-05","2015-10-11",7,2015,41,17888474,1234,0,"TBC"
"Ecuador","Ecuador",0,"2015-10-12","2015-10-18",7,2015,42,17888474,1226,0,"TBC"
"Ecuador","Ecuador",0,"2015-10-19","2015-10-25",7,2015,43,17888474,1278,0,"TBC"
"Ecuador","Ecuador",0,"2015-10-26","2015-11-01",7,2015,44,17888474,1210,0,"TBC"
"Ecuador","Ecuador",0,"2015-11-02","2015-11-08",7,2015,45,17888474,1201,0,"TBC"
