"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Hong Kong","Hong Kong",0,"2015-01-01","2015-01-31",31,2015,1,7488863,4838,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-02-01","2015-02-28",28,2015,2,7488863,4329,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-03-01","2015-03-31",31,2015,3,7488863,4197,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-04-01","2015-04-30",30,2015,4,7488863,3720,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-05-01","2015-05-31",31,2015,5,7488863,3792,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-06-01","2015-06-30",30,2015,6,7488863,3684,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-07-01","2015-07-31",31,2015,7,7488863,3665,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-08-01","2015-08-31",31,2015,8,7488863,3519,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-09-01","2015-09-30",30,2015,9,7488863,3418,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-10-01","2015-10-31",31,2015,10,7488863,3678,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-11-01","2015-11-30",30,2015,11,7488863,3302,0,"TBC"
"Hong Kong","Hong Kong",0,"2015-12-01","2015-12-31",31,2015,12,7488863,3966,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-01-01","2016-01-31",31,2016,1,7488863,4316,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-02-01","2016-02-29",29,2016,2,7488863,4699,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-03-01","2016-03-31",31,2016,3,7488863,4589,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-04-01","2016-04-30",30,2016,4,7488863,4067,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-05-01","2016-05-31",31,2016,5,7488863,3996,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-06-01","2016-06-30",30,2016,6,7488863,3471,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-07-01","2016-07-31",31,2016,7,7488863,3606,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-08-01","2016-08-31",31,2016,8,7488863,3535,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-09-01","2016-09-30",30,2016,9,7488863,3375,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-10-01","2016-10-31",31,2016,10,7488863,3602,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-11-01","2016-11-30",30,2016,11,7488863,3643,0,"TBC"
"Hong Kong","Hong Kong",0,"2016-12-01","2016-12-31",31,2016,12,7488863,4006,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-01-01","2017-01-31",31,2017,1,7488863,4203,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-02-01","2017-02-28",28,2017,2,7488863,3917,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-03-01","2017-03-31",31,2017,3,7488863,4183,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-04-01","2017-04-30",30,2017,4,7488863,3785,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-05-01","2017-05-31",31,2017,5,7488863,3819,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-06-01","2017-06-30",30,2017,6,7488863,3710,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-07-01","2017-07-31",31,2017,7,7488863,4176,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-08-01","2017-08-31",31,2017,8,7488863,3872,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-09-01","2017-09-30",30,2017,9,7488863,3500,0,"TBC"
"Hong Kong","Hong Kong",0,"2017-10-01","2017-10-31",31,2017,10,7488863,3789,0,"TBC"
