"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Italy","Italy",0,"2014-12-29","2015-01-04",7,2015,1,60317116,15178,0,"TBC"
"Italy","Italy",0,"2015-01-05","2015-01-11",7,2015,2,60317116,15811,0,"TBC"
"Italy","Italy",0,"2015-01-12","2015-01-18",7,2015,3,60317116,15480,0,"TBC"
"Italy","Italy",0,"2015-01-19","2015-01-25",7,2015,4,60317116,14922,0,"TBC"
"Italy","Italy",0,"2015-01-26","2015-02-01",7,2015,5,60317116,15228,0,"TBC"
"Italy","Italy",0,"2015-02-02","2015-02-08",7,2015,6,60317116,15640,0,"TBC"
"Italy","Italy",0,"2015-02-09","2015-02-15",7,2015,7,60317116,15510,0,"TBC"
"Italy","Italy",0,"2015-02-16","2015-02-22",7,2015,8,60317116,15149,0,"TBC"
"Italy","Italy",0,"2015-02-23","2015-03-01",7,2015,9,60317116,14544,0,"TBC"
"Italy","Italy",0,"2015-03-02","2015-03-08",7,2015,10,60317116,14211,0,"TBC"
"Italy","Italy",0,"2015-03-09","2015-03-15",7,2015,11,60317116,13846,0,"TBC"
"Italy","Italy",0,"2015-03-16","2015-03-22",7,2015,12,60317116,13455,0,"TBC"
"Italy","Italy",0,"2015-03-23","2015-03-29",7,2015,13,60317116,13126,0,"TBC"
"Italy","Italy",0,"2015-03-30","2015-04-05",7,2015,14,60317116,12832,0,"TBC"
"Italy","Italy",0,"2015-04-06","2015-04-12",7,2015,15,60317116,12811,0,"TBC"
"Italy","Italy",0,"2015-04-13","2015-04-19",7,2015,16,60317116,12781,0,"TBC"
"Italy","Italy",0,"2015-04-20","2015-04-26",7,2015,17,60317116,12046,0,"TBC"
"Italy","Italy",0,"2015-04-27","2015-05-03",7,2015,18,60317116,11946,0,"TBC"
"Italy","Italy",0,"2015-05-04","2015-05-10",7,2015,19,60317116,12177,0,"TBC"
"Italy","Italy",0,"2015-05-11","2015-05-17",7,2015,20,60317116,11518,0,"TBC"
"Italy","Italy",0,"2015-05-18","2015-05-24",7,2015,21,60317116,11058,0,"TBC"
"Italy","Italy",0,"2015-05-25","2015-05-31",7,2015,22,60317116,10848,0,"TBC"
"Italy","Italy",0,"2015-06-01","2015-06-07",7,2015,23,60317116,12060,0,"TBC"
"Italy","Italy",0,"2015-06-08","2015-06-14",7,2015,24,60317116,11447,0,"TBC"
"Italy","Italy",0,"2015-06-15","2015-06-21",7,2015,25,60317116,10591,0,"TBC"
"Italy","Italy",0,"2015-06-22","2015-06-28",7,2015,26,60317116,10808,0,"TBC"
"Italy","Italy",0,"2015-06-29","2015-07-05",7,2015,27,60317116,11819,0,"TBC"
"Italy","Italy",0,"2015-07-06","2015-07-12",7,2015,28,60317116,13269,0,"TBC"
"Italy","Italy",0,"2015-07-13","2015-07-19",7,2015,29,60317116,13303,0,"TBC"
"Italy","Italy",0,"2015-07-20","2015-07-26",7,2015,30,60317116,14555,0,"TBC"
"Italy","Italy",0,"2015-07-27","2015-08-02",7,2015,31,60317116,12009,0,"TBC"
"Italy","Italy",0,"2015-08-03","2015-08-09",7,2015,32,60317116,12595,0,"TBC"
"Italy","Italy",0,"2015-08-10","2015-08-16",7,2015,33,60317116,11716,0,"TBC"
"Italy","Italy",0,"2015-08-17","2015-08-23",7,2015,34,60317116,10619,0,"TBC"
"Italy","Italy",0,"2015-08-24","2015-08-30",7,2015,35,60317116,11116,0,"TBC"
"Italy","Italy",0,"2015-08-31","2015-09-06",7,2015,36,60317116,11352,0,"TBC"
"Italy","Italy",0,"2015-09-07","2015-09-13",7,2015,37,60317116,10629,0,"TBC"
"Italy","Italy",0,"2015-09-14","2015-09-20",7,2015,38,60317116,11358,0,"TBC"
"Italy","Italy",0,"2015-09-21","2015-09-27",7,2015,39,60317116,10687,0,"TBC"
"Italy","Italy",0,"2015-09-28","2015-10-04",7,2015,40,60317116,11228,0,"TBC"
"Italy","Italy",0,"2015-10-05","2015-10-11",7,2015,41,60317116,11624,0,"TBC"
"Italy","Italy",0,"2015-10-12","2015-10-18",7,2015,42,60317116,11389,0,"TBC"
"Italy","Italy",0,"2015-10-19","2015-10-25",7,2015,43,60317116,11834,0,"TBC"
"Italy","Italy",0,"2015-10-26","2015-11-01",7,2015,44,60317116,11722,0,"TBC"
"Italy","Italy",0,"2015-11-02","2015-11-08",7,2015,45,60317116,11850,0,"TBC"
"Italy","Italy",0,"2015-11-09","2015-11-15",7,2015,46,60317116,11629,0,"TBC"
"Italy","Italy",0,"2015-11-16","2015-11-22",7,2015,47,60317116,11689,0,"TBC"
"Italy","Italy",0,"2015-11-23","2015-11-29",7,2015,48,60317116,11738,0,"TBC"
"Italy","Italy",0,"2015-11-30","2015-12-06",7,2015,49,60317116,12501,0,"TBC"
"Italy","Italy",0,"2015-12-07","2015-12-13",7,2015,50,60317116,12491,0,"TBC"
"Italy","Italy",0,"2015-12-14","2015-12-20",7,2015,51,60317116,12463,0,"TBC"
"Italy","Italy",0,"2015-12-21","2015-12-27",7,2015,52,60317116,12560,0,"TBC"
"Italy","Italy",0,"2015-12-28","2016-01-03",7,2015,53,60317116,13218,0,"TBC"
"Italy","Italy",0,"2016-01-04","2016-01-10",7,2016,1,60317116,13517,0,"TBC"
"Italy","Italy",0,"2016-01-11","2016-01-17",7,2016,2,60317116,13055,0,"TBC"
"Italy","Italy",0,"2016-01-18","2016-01-24",7,2016,3,60317116,13545,0,"TBC"
"Italy","Italy",0,"2016-01-25","2016-01-31",7,2016,4,60317116,13388,0,"TBC"
"Italy","Italy",0,"2016-02-01","2016-02-07",7,2016,5,60317116,12997,0,"TBC"
"Italy","Italy",0,"2016-02-08","2016-02-14",7,2016,6,60317116,13168,0,"TBC"
"Italy","Italy",0,"2016-02-15","2016-02-21",7,2016,7,60317116,12685,0,"TBC"
"Italy","Italy",0,"2016-02-22","2016-02-28",7,2016,8,60317116,12709,0,"TBC"
"Italy","Italy",0,"2016-02-29","2016-03-06",7,2016,9,60317116,12772,0,"TBC"
"Italy","Italy",0,"2016-03-07","2016-03-13",7,2016,10,60317116,12845,0,"TBC"
"Italy","Italy",0,"2016-03-14","2016-03-20",7,2016,11,60317116,12887,0,"TBC"
"Italy","Italy",0,"2016-03-21","2016-03-27",7,2016,12,60317116,12525,0,"TBC"
"Italy","Italy",0,"2016-03-28","2016-04-03",7,2016,13,60317116,12725,0,"TBC"
"Italy","Italy",0,"2016-04-04","2016-04-10",7,2016,14,60317116,12291,0,"TBC"
"Italy","Italy",0,"2016-04-11","2016-04-17",7,2016,15,60317116,11822,0,"TBC"
"Italy","Italy",0,"2016-04-18","2016-04-24",7,2016,16,60317116,11594,0,"TBC"
"Italy","Italy",0,"2016-04-25","2016-05-01",7,2016,17,60317116,11420,0,"TBC"
"Italy","Italy",0,"2016-05-02","2016-05-08",7,2016,18,60317116,11595,0,"TBC"
"Italy","Italy",0,"2016-05-09","2016-05-15",7,2016,19,60317116,11422,0,"TBC"
"Italy","Italy",0,"2016-05-16","2016-05-22",7,2016,20,60317116,10950,0,"TBC"
"Italy","Italy",0,"2016-05-23","2016-05-29",7,2016,21,60317116,11509,0,"TBC"
"Italy","Italy",0,"2016-05-30","2016-06-05",7,2016,22,60317116,10842,0,"TBC"
"Italy","Italy",0,"2016-06-06","2016-06-12",7,2016,23,60317116,11030,0,"TBC"
"Italy","Italy",0,"2016-06-13","2016-06-19",7,2016,24,60317116,10766,0,"TBC"
"Italy","Italy",0,"2016-06-20","2016-06-26",7,2016,25,60317116,11442,0,"TBC"
"Italy","Italy",0,"2016-06-27","2016-07-03",7,2016,26,60317116,11247,0,"TBC"
"Italy","Italy",0,"2016-07-04","2016-07-10",7,2016,27,60317116,11293,0,"TBC"
"Italy","Italy",0,"2016-07-11","2016-07-17",7,2016,28,60317116,11324,0,"TBC"
"Italy","Italy",0,"2016-07-18","2016-07-24",7,2016,29,60317116,11170,0,"TBC"
"Italy","Italy",0,"2016-07-25","2016-07-31",7,2016,30,60317116,11042,0,"TBC"
"Italy","Italy",0,"2016-08-01","2016-08-07",7,2016,31,60317116,10991,0,"TBC"
"Italy","Italy",0,"2016-08-08","2016-08-14",7,2016,32,60317116,10606,0,"TBC"
"Italy","Italy",0,"2016-08-15","2016-08-21",7,2016,33,60317116,11144,0,"TBC"
"Italy","Italy",0,"2016-08-22","2016-08-28",7,2016,34,60317116,11193,0,"TBC"
"Italy","Italy",0,"2016-08-29","2016-09-04",7,2016,35,60317116,10748,0,"TBC"
"Italy","Italy",0,"2016-09-05","2016-09-11",7,2016,36,60317116,10479,0,"TBC"
"Italy","Italy",0,"2016-09-12","2016-09-18",7,2016,37,60317116,10584,0,"TBC"
"Italy","Italy",0,"2016-09-19","2016-09-25",7,2016,38,60317116,10321,0,"TBC"
"Italy","Italy",0,"2016-09-26","2016-10-02",7,2016,39,60317116,11094,0,"TBC"
"Italy","Italy",0,"2016-10-03","2016-10-09",7,2016,40,60317116,11158,0,"TBC"
"Italy","Italy",0,"2016-10-10","2016-10-16",7,2016,41,60317116,12362,0,"TBC"
"Italy","Italy",0,"2016-10-17","2016-10-23",7,2016,42,60317116,12060,0,"TBC"
"Italy","Italy",0,"2016-10-24","2016-10-30",7,2016,43,60317116,11816,0,"TBC"
"Italy","Italy",0,"2016-10-31","2016-11-06",7,2016,44,60317116,11744,0,"TBC"
"Italy","Italy",0,"2016-11-07","2016-11-13",7,2016,45,60317116,11889,0,"TBC"
"Italy","Italy",0,"2016-11-14","2016-11-20",7,2016,46,60317116,12476,0,"TBC"
"Italy","Italy",0,"2016-11-21","2016-11-27",7,2016,47,60317116,12146,0,"TBC"
"Italy","Italy",0,"2016-11-28","2016-12-04",7,2016,48,60317116,12205,0,"TBC"
"Italy","Italy",0,"2016-12-05","2016-12-11",7,2016,49,60317116,12543,0,"TBC"
"Italy","Italy",0,"2016-12-12","2016-12-18",7,2016,50,60317116,13262,0,"TBC"
"Italy","Italy",0,"2016-12-19","2016-12-25",7,2016,51,60317116,14861,0,"TBC"
"Italy","Italy",0,"2016-12-26","2017-01-01",7,2016,52,60317116,16489,0,"TBC"
"Italy","Italy",0,"2017-01-02","2017-01-08",7,2017,1,60317116,18072,0,"TBC"
"Italy","Italy",0,"2017-01-09","2017-01-15",7,2017,2,60317116,18990,0,"TBC"
"Italy","Italy",0,"2017-01-16","2017-01-22",7,2017,3,60317116,17973,0,"TBC"
"Italy","Italy",0,"2017-01-23","2017-01-29",7,2017,4,60317116,16487,0,"TBC"
