"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Japan","Japan",0,"2015-01-01","2015-01-31",31,2015,1,126050796,134256,0,"TBC"
"Japan","Japan",0,"2015-02-01","2015-02-28",28,2015,2,126050796,110042,0,"TBC"
"Japan","Japan",0,"2015-03-01","2015-03-31",31,2015,3,126050796,113860,0,"TBC"
"Japan","Japan",0,"2015-04-01","2015-04-30",30,2015,4,126050796,104886,0,"TBC"
"Japan","Japan",0,"2015-05-01","2015-05-31",31,2015,5,126050796,102731,0,"TBC"
"Japan","Japan",0,"2015-06-01","2015-06-30",30,2015,6,126050796,94569,0,"TBC"
"Japan","Japan",0,"2015-07-01","2015-07-31",31,2015,7,126050796,99448,0,"TBC"
"Japan","Japan",0,"2015-08-01","2015-08-31",31,2015,8,126050796,101081,0,"TBC"
"Japan","Japan",0,"2015-09-01","2015-09-30",30,2015,9,126050796,98242,0,"TBC"
"Japan","Japan",0,"2015-10-01","2015-10-31",31,2015,10,126050796,107928,0,"TBC"
"Japan","Japan",0,"2015-11-01","2015-11-30",30,2015,11,126050796,106616,0,"TBC"
"Japan","Japan",0,"2015-12-01","2015-12-31",31,2015,12,126050796,116851,0,"TBC"
"Japan","Japan",0,"2016-01-01","2016-01-31",31,2016,1,126050796,124668,0,"TBC"
"Japan","Japan",0,"2016-02-01","2016-02-29",29,2016,2,126050796,114527,0,"TBC"
"Japan","Japan",0,"2016-03-01","2016-03-31",31,2016,3,126050796,116072,0,"TBC"
"Japan","Japan",0,"2016-04-01","2016-04-30",30,2016,4,126050796,105264,0,"TBC"
"Japan","Japan",0,"2016-05-01","2016-05-31",31,2016,5,126050796,103261,0,"TBC"
"Japan","Japan",0,"2016-06-01","2016-06-30",30,2016,6,126050796,95443,0,"TBC"
"Japan","Japan",0,"2016-07-01","2016-07-31",31,2016,7,126050796,99203,0,"TBC"
"Japan","Japan",0,"2016-08-01","2016-08-31",31,2016,8,126050796,103353,0,"TBC"
"Japan","Japan",0,"2016-09-01","2016-09-30",30,2016,9,126050796,100240,0,"TBC"
"Japan","Japan",0,"2016-10-01","2016-10-31",31,2016,10,126050796,109608,0,"TBC"
"Japan","Japan",0,"2016-11-01","2016-11-30",30,2016,11,126050796,113856,0,"TBC"
"Japan","Japan",0,"2016-12-01","2016-12-31",31,2016,12,126050796,122663,0,"TBC"
"Japan","Japan",0,"2017-01-01","2017-01-31",31,2017,1,126050796,134174,0,"TBC"
"Japan","Japan",0,"2017-02-01","2017-02-28",28,2017,2,126050796,116534,0,"TBC"
"Japan","Japan",0,"2017-03-01","2017-03-31",31,2017,3,126050796,120019,0,"TBC"
"Japan","Japan",0,"2017-04-01","2017-04-30",30,2017,4,126050796,108422,0,"TBC"
"Japan","Japan",0,"2017-05-01","2017-05-31",31,2017,5,126050796,106278,0,"TBC"
"Japan","Japan",0,"2017-06-01","2017-06-30",30,2017,6,126050796,97844,0,"TBC"
"Japan","Japan",0,"2017-07-01","2017-07-31",31,2017,7,126050796,102387,0,"TBC"
"Japan","Japan",0,"2017-08-01","2017-08-31",31,2017,8,126050796,103617,0,"TBC"
"Japan","Japan",0,"2017-09-01","2017-09-30",30,2017,9,126050796,100893,0,"TBC"
"Japan","Japan",0,"2017-10-01","2017-10-31",31,2017,10,126050796,110422,0,"TBC"
"Japan","Japan",0,"2017-11-01","2017-11-30",30,2017,11,126050796,115170,0,"TBC"
"Japan","Japan",0,"2017-12-01","2017-12-31",31,2017,12,126050796,124807,0,"TBC"
"Japan","Japan",0,"2018-01-01","2018-01-31",31,2018,1,126050796,137773,0,"TBC"
"Japan","Japan",0,"2018-02-01","2018-02-28",28,2018,2,126050796,122855,0,"TBC"
"Japan","Japan",0,"2018-03-01","2018-03-31",31,2018,3,126050796,120575,0,"TBC"
"Japan","Japan",0,"2018-04-01","2018-04-30",30,2018,4,126050796,108977,0,"TBC"
"Japan","Japan",0,"2018-05-01","2018-05-31",31,2018,5,126050796,106196,0,"TBC"
"Japan","Japan",0,"2018-06-01","2018-06-30",30,2018,6,126050796,98406,0,"TBC"
"Japan","Japan",0,"2018-07-01","2018-07-31",31,2018,7,126050796,106782,0,"TBC"
"Japan","Japan",0,"2018-08-01","2018-08-31",31,2018,8,126050796,105948,0,"TBC"
"Japan","Japan",0,"2018-09-01","2018-09-30",30,2018,9,126050796,104679,0,"TBC"
"Japan","Japan",0,"2018-10-01","2018-10-31",31,2018,10,126050796,112320,0,"TBC"
"Japan","Japan",0,"2018-11-01","2018-11-30",30,2018,11,126050796,114473,0,"TBC"
"Japan","Japan",0,"2018-12-01","2018-12-31",31,2018,12,126050796,123486,0,"TBC"
"Japan","Japan",0,"2019-01-01","2019-01-31",31,2019,1,126050796,140223,0,"TBC"
"Japan","Japan",0,"2019-02-01","2019-02-28",28,2019,2,126050796,117312,0,"TBC"
"Japan","Japan",0,"2019-03-01","2019-03-31",31,2019,3,126050796,118335,0,"TBC"
"Japan","Japan",0,"2019-04-01","2019-04-30",30,2019,4,126050796,112790,0,"TBC"
"Japan","Japan",0,"2019-05-01","2019-05-31",31,2019,5,126050796,110055,0,"TBC"
"Japan","Japan",0,"2019-06-01","2019-06-30",30,2019,6,126050796,102354,0,"TBC"
"Japan","Japan",0,"2019-07-01","2019-07-31",31,2019,7,126050796,106594,0,"TBC"
"Japan","Japan",0,"2019-08-01","2019-08-31",31,2019,8,126050796,111436,0,"TBC"
"Japan","Japan",0,"2019-09-01","2019-09-30",30,2019,9,126050796,107694,0,"TBC"
"Japan","Japan",0,"2019-10-01","2019-10-31",31,2019,10,126050796,114284,0,"TBC"
"Japan","Japan",0,"2019-11-01","2019-11-30",30,2019,11,126050796,119462,0,"TBC"
"Japan","Japan",0,"2019-12-01","2019-12-31",31,2019,12,126050796,127236,0,"TBC"
"Japan","Japan",0,"2020-01-01","2020-01-31",31,2020,1,126050796,132622,0,"TBC"
"Japan","Japan",0,"2020-02-01","2020-02-29",29,2020,2,126050796,117010,6,"TBC"
"Japan","Japan",0,"2020-03-01","2020-03-31",31,2020,3,126050796,119161,61,"TBC"
"Japan","Japan",0,"2020-04-01","2020-04-30",30,2020,4,126050796,113362,414,"TBC"
"Japan","Japan",0,"2020-05-01","2020-05-31",31,2020,5,126050796,108380,417,"TBC"
"Japan","Japan",0,"2020-06-01","2020-06-30",30,2020,6,126050796,100423,74,"TBC"
"Japan","Japan",0,"2020-07-01","2020-07-31",31,2020,7,126050796,104849,36,"TBC"
"Japan","Japan",0,"2020-08-01","2020-08-31",31,2020,8,126050796,111591,290,"TBC"
"Japan","Japan",0,"2020-09-01","2020-09-30",30,2020,9,126050796,107468,277,"TBC"
"Japan","Japan",0,"2020-10-01","2020-10-31",31,2020,10,126050796,118038,194,"TBC"
"Japan","Japan",0,"2020-11-01","2020-11-30",30,2020,11,126050796,118455,307,"TBC"
"Japan","Japan",0,"2020-12-01","2020-12-31",31,2020,12,126050796,133185,1216,"TBC"
"Japan","Japan",0,"2021-01-01","2021-01-31",31,2021,1,126050796,140844,2461,"TBC"
"Japan","Japan",0,"2021-02-01","2021-02-28",28,2021,2,126050796,118984,2136,"TBC"
"Japan","Japan",0,"2021-03-01","2021-03-31",31,2021,3,126050796,123579,1266,"TBC"
"Japan","Japan",0,"2021-04-01","2021-04-30",30,2021,4,126050796,118169,1044,"TBC"
"Japan","Japan",0,"2021-05-01","2021-05-31",31,2021,5,126050796,118634,2807,"TBC"
"Japan","Japan",0,"2021-06-01","2021-06-30",30,2021,6,126050796,108734,1724,"TBC"
"Japan","Japan",0,"2021-07-01","2021-07-31",31,2021,7,126050796,112222,476,"TBC"
