"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Kosovo","Kosovo",0,"2015-01-01","2015-01-31",31,2015,1,1873160,794,0,"TBC"
"Kosovo","Kosovo",0,"2015-02-01","2015-02-28",28,2015,2,1873160,759,0,"TBC"
"Kosovo","Kosovo",0,"2015-03-01","2015-03-31",31,2015,3,1873160,777,0,"TBC"
"Kosovo","Kosovo",0,"2015-04-01","2015-04-30",30,2015,4,1873160,776,0,"TBC"
"Kosovo","Kosovo",0,"2015-05-01","2015-05-31",31,2015,5,1873160,733,0,"TBC"
"Kosovo","Kosovo",0,"2015-06-01","2015-06-30",30,2015,6,1873160,754,0,"TBC"
"Kosovo","Kosovo",0,"2015-07-01","2015-07-31",31,2015,7,1873160,668,0,"TBC"
"Kosovo","Kosovo",0,"2015-08-01","2015-08-31",31,2015,8,1873160,667,0,"TBC"
"Kosovo","Kosovo",0,"2015-09-01","2015-09-30",30,2015,9,1873160,667,0,"TBC"
"Kosovo","Kosovo",0,"2015-10-01","2015-10-31",31,2015,10,1873160,800,0,"TBC"
"Kosovo","Kosovo",0,"2015-11-01","2015-11-30",30,2015,11,1873160,696,0,"TBC"
"Kosovo","Kosovo",0,"2015-12-01","2015-12-31",31,2015,12,1873160,748,0,"TBC"
"Kosovo","Kosovo",0,"2016-01-01","2016-01-31",31,2016,1,1873160,758,0,"TBC"
"Kosovo","Kosovo",0,"2016-02-01","2016-02-29",29,2016,2,1873160,842,0,"TBC"
"Kosovo","Kosovo",0,"2016-03-01","2016-03-31",31,2016,3,1873160,800,0,"TBC"
"Kosovo","Kosovo",0,"2016-04-01","2016-04-30",30,2016,4,1873160,742,0,"TBC"
"Kosovo","Kosovo",0,"2016-05-01","2016-05-31",31,2016,5,1873160,792,0,"TBC"
"Kosovo","Kosovo",0,"2016-06-01","2016-06-30",30,2016,6,1873160,767,0,"TBC"
"Kosovo","Kosovo",0,"2016-07-01","2016-07-31",31,2016,7,1873160,630,0,"TBC"
"Kosovo","Kosovo",0,"2016-08-01","2016-08-31",31,2016,8,1873160,828,0,"TBC"
"Kosovo","Kosovo",0,"2016-09-01","2016-09-30",30,2016,9,1873160,729,0,"TBC"
"Kosovo","Kosovo",0,"2016-10-01","2016-10-31",31,2016,10,1873160,789,0,"TBC"
"Kosovo","Kosovo",0,"2016-11-01","2016-11-30",30,2016,11,1873160,770,0,"TBC"
"Kosovo","Kosovo",0,"2016-12-01","2016-12-31",31,2016,12,1873160,779,0,"TBC"
"Kosovo","Kosovo",0,"2017-01-01","2017-01-31",31,2017,1,1873160,796,0,"TBC"
"Kosovo","Kosovo",0,"2017-02-01","2017-02-28",28,2017,2,1873160,784,0,"TBC"
"Kosovo","Kosovo",0,"2017-03-01","2017-03-31",31,2017,3,1873160,789,0,"TBC"
"Kosovo","Kosovo",0,"2017-04-01","2017-04-30",30,2017,4,1873160,633,0,"TBC"
