"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Maldives","Maldives",0,"2015-01-01","2015-01-31",31,2015,1,543620,94,0,"TBC"
"Maldives","Maldives",0,"2015-02-01","2015-02-28",28,2015,2,543620,91,0,"TBC"
"Maldives","Maldives",0,"2015-03-01","2015-03-31",31,2015,3,543620,107,0,"TBC"
"Maldives","Maldives",0,"2015-04-01","2015-04-30",30,2015,4,543620,114,0,"TBC"
"Maldives","Maldives",0,"2015-05-01","2015-05-31",31,2015,5,543620,87,0,"TBC"
"Maldives","Maldives",0,"2015-06-01","2015-06-30",30,2015,6,543620,88,0,"TBC"
"Maldives","Maldives",0,"2015-07-01","2015-07-31",31,2015,7,543620,73,0,"TBC"
"Maldives","Maldives",0,"2015-08-01","2015-08-31",31,2015,8,543620,91,0,"TBC"
"Maldives","Maldives",0,"2015-09-01","2015-09-30",30,2015,9,543620,92,0,"TBC"
"Maldives","Maldives",0,"2015-10-01","2015-10-31",31,2015,10,543620,97,0,"TBC"
"Maldives","Maldives",0,"2015-11-01","2015-11-30",30,2015,11,543620,98,0,"TBC"
"Maldives","Maldives",0,"2015-12-01","2015-12-31",31,2015,12,543620,98,0,"TBC"
"Maldives","Maldives",0,"2016-01-01","2016-01-31",31,2016,1,543620,122,0,"TBC"
"Maldives","Maldives",0,"2016-02-01","2016-02-29",29,2016,2,543620,121,0,"TBC"
"Maldives","Maldives",0,"2016-03-01","2016-03-31",31,2016,3,543620,129,0,"TBC"
"Maldives","Maldives",0,"2016-04-01","2016-04-30",30,2016,4,543620,97,0,"TBC"
"Maldives","Maldives",0,"2016-05-01","2016-05-31",31,2016,5,543620,104,0,"TBC"
"Maldives","Maldives",0,"2016-06-01","2016-06-30",30,2016,6,543620,98,0,"TBC"
"Maldives","Maldives",0,"2016-07-01","2016-07-31",31,2016,7,543620,83,0,"TBC"
"Maldives","Maldives",0,"2016-08-01","2016-08-31",31,2016,8,543620,109,0,"TBC"
"Maldives","Maldives",0,"2016-09-01","2016-09-30",30,2016,9,543620,94,0,"TBC"
"Maldives","Maldives",0,"2016-10-01","2016-10-31",31,2016,10,543620,80,0,"TBC"
"Maldives","Maldives",0,"2016-11-01","2016-11-30",30,2016,11,543620,88,0,"TBC"
"Maldives","Maldives",0,"2016-12-01","2016-12-31",31,2016,12,543620,101,0,"TBC"
"Maldives","Maldives",0,"2017-01-01","2017-01-31",31,2017,1,543620,97,0,"TBC"
"Maldives","Maldives",0,"2017-02-01","2017-02-28",28,2017,2,543620,104,0,"TBC"
"Maldives","Maldives",0,"2017-03-01","2017-03-31",31,2017,3,543620,134,0,"TBC"
"Maldives","Maldives",0,"2017-04-01","2017-04-30",30,2017,4,543620,109,0,"TBC"
"Maldives","Maldives",0,"2017-05-01","2017-05-31",31,2017,5,543620,94,0,"TBC"
"Maldives","Maldives",0,"2017-06-01","2017-06-30",30,2017,6,543620,103,0,"TBC"
"Maldives","Maldives",0,"2017-07-01","2017-07-31",31,2017,7,543620,105,0,"TBC"
"Maldives","Maldives",0,"2017-08-01","2017-08-31",31,2017,8,543620,88,0,"TBC"
"Maldives","Maldives",0,"2017-09-01","2017-09-30",30,2017,9,543620,90,0,"TBC"
"Maldives","Maldives",0,"2017-10-01","2017-10-31",31,2017,10,543620,106,0,"TBC"
"Maldives","Maldives",0,"2017-11-01","2017-11-30",30,2017,11,543620,94,0,"TBC"
"Maldives","Maldives",0,"2017-12-01","2017-12-31",31,2017,12,543620,117,0,"TBC"
"Maldives","Maldives",0,"2018-01-01","2018-01-31",31,2018,1,543620,114,0,"TBC"
"Maldives","Maldives",0,"2018-02-01","2018-02-28",28,2018,2,543620,98,0,"TBC"
"Maldives","Maldives",0,"2018-03-01","2018-03-31",31,2018,3,543620,117,0,"TBC"
"Maldives","Maldives",0,"2018-04-01","2018-04-30",30,2018,4,543620,99,0,"TBC"
"Maldives","Maldives",0,"2018-05-01","2018-05-31",31,2018,5,543620,113,0,"TBC"
"Maldives","Maldives",0,"2018-06-01","2018-06-30",30,2018,6,543620,89,0,"TBC"
"Maldives","Maldives",0,"2018-07-01","2018-07-31",31,2018,7,543620,100,0,"TBC"
"Maldives","Maldives",0,"2018-08-01","2018-08-31",31,2018,8,543620,91,0,"TBC"
"Maldives","Maldives",0,"2018-09-01","2018-09-30",30,2018,9,543620,93,0,"TBC"
"Maldives","Maldives",0,"2018-10-01","2018-10-31",31,2018,10,543620,100,0,"TBC"
"Maldives","Maldives",0,"2018-11-01","2018-11-30",30,2018,11,543620,90,0,"TBC"
"Maldives","Maldives",0,"2018-12-01","2018-12-31",31,2018,12,543620,112,0,"TBC"
"Maldives","Maldives",0,"2019-01-01","2019-01-31",31,2019,1,543620,110,0,"TBC"
"Maldives","Maldives",0,"2019-02-01","2019-02-28",28,2019,2,543620,78,0,"TBC"
"Maldives","Maldives",0,"2019-03-01","2019-03-31",31,2019,3,543620,101,0,"TBC"
"Maldives","Maldives",0,"2019-04-01","2019-04-30",30,2019,4,543620,87,0,"TBC"
"Maldives","Maldives",0,"2019-05-01","2019-05-31",31,2019,5,543620,89,0,"TBC"
"Maldives","Maldives",0,"2019-06-01","2019-06-30",30,2019,6,543620,80,0,"TBC"
"Maldives","Maldives",0,"2019-07-01","2019-07-31",31,2019,7,543620,98,0,"TBC"
"Maldives","Maldives",0,"2019-08-01","2019-08-31",31,2019,8,543620,85,0,"TBC"
"Maldives","Maldives",0,"2019-09-01","2019-09-30",30,2019,9,543620,78,0,"TBC"
"Maldives","Maldives",0,"2019-10-01","2019-10-31",31,2019,10,543620,91,0,"TBC"
"Maldives","Maldives",0,"2019-11-01","2019-11-30",30,2019,11,543620,86,0,"TBC"
"Maldives","Maldives",0,"2019-12-01","2019-12-31",31,2019,12,543620,58,0,"TBC"
"Maldives","Maldives",0,"2020-01-01","2020-01-31",31,2020,1,543620,114,0,"TBC"
"Maldives","Maldives",0,"2020-02-01","2020-02-29",29,2020,2,543620,96,0,"TBC"
"Maldives","Maldives",0,"2020-03-01","2020-03-31",31,2020,3,543620,109,0,"TBC"
"Maldives","Maldives",0,"2020-04-01","2020-04-30",30,2020,4,543620,91,1,"TBC"
"Maldives","Maldives",0,"2020-05-01","2020-05-31",31,2020,5,543620,109,4,"TBC"
"Maldives","Maldives",0,"2020-06-01","2020-06-30",30,2020,6,543620,91,4,"TBC"
"Maldives","Maldives",0,"2020-07-01","2020-07-31",31,2020,7,543620,115,7,"TBC"
"Maldives","Maldives",0,"2020-08-01","2020-08-31",31,2020,8,543620,129,12,"TBC"
"Maldives","Maldives",0,"2020-09-01","2020-09-30",30,2020,9,543620,112,6,"TBC"
"Maldives","Maldives",0,"2020-10-01","2020-10-31",31,2020,10,543620,103,4,"TBC"
"Maldives","Maldives",0,"2020-11-01","2020-11-30",30,2020,11,543620,110,8,"TBC"
"Maldives","Maldives",0,"2020-12-01","2020-12-31",31,2020,12,543620,96,2,"TBC"
