"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Mexico","Mexico",0,"2019-12-29","2020-01-04",2020,1,119530753,15998,0,16146
"Mexico","Mexico",0,"2020-01-05","2020-01-11",2020,2,119530753,16443,0,15886
"Mexico","Mexico",0,"2020-01-12","2020-01-18",2020,3,119530753,16162,0,15965
"Mexico","Mexico",0,"2020-01-19","2020-01-25",2020,4,119530753,15392,0,15821
"Mexico","Mexico",0,"2020-01-26","2020-02-01",2020,5,119530753,15230,0,15533
"Mexico","Mexico",0,"2020-02-02","2020-02-08",2020,6,119530753,15371,0,15535
"Mexico","Mexico",0,"2020-02-09","2020-02-15",2020,7,119530753,14972,0,15426
"Mexico","Mexico",0,"2020-02-16","2020-02-22",2020,8,119530753,14354,0,14810
"Mexico","Mexico",0,"2020-02-23","2020-02-29",2020,9,119530753,13865,0,14736
"Mexico","Mexico",0,"2020-03-01","2020-03-07",2020,10,119530753,13918,0,14210
"Mexico","Mexico",0,"2020-03-08","2020-03-14",2020,11,119530753,13762,0,14226
"Mexico","Mexico",0,"2020-03-15","2020-03-21",2020,12,119530753,13105,2,13708
"Mexico","Mexico",0,"2020-03-22","2020-03-28",2020,13,119530753,13474,14,13505
"Mexico","Mexico",0,"2020-03-29","2020-04-04",2020,14,119530753,13389,63,13522
"Mexico","Mexico",0,"2020-04-05","2020-04-11",2020,15,119530753,13742,194,13169
"Mexico","Mexico",0,"2020-04-12","2020-04-18",2020,16,119530753,14483,377,13025
"Mexico","Mexico",0,"2020-04-19","2020-04-25",2020,17,119530753,16588,655,13222
"Mexico","Mexico",0,"2020-04-26","2020-05-02",2020,18,119530753,18269,756,13153
"Mexico","Mexico",0,"2020-05-03","2020-05-09",2020,19,119530753,20274,1292,12741
"Mexico","Mexico",0,"2020-05-10","2020-05-16",2020,20,119530753,21750,1692,13289
"Mexico","Mexico",0,"2020-05-17","2020-05-23",2020,21,119530753,22805,2134,13146
"Mexico","Mexico",0,"2020-05-24","2020-05-30",2020,22,119530753,22768,2600,13263
"Mexico","Mexico",0,"2020-05-31","2020-06-06",2020,23,119530753,23388,3732,12956
"Mexico","Mexico",0,"2020-06-07","2020-06-13",2020,24,119530753,24240,3361,12583
"Mexico","Mexico",0,"2020-06-14","2020-06-20",2020,25,119530753,24225,3909,13139
"Mexico","Mexico",0,"2020-06-21","2020-06-27",2020,26,119530753,23879,5600,12766
"Mexico","Mexico",0,"2020-06-28","2020-07-04",2020,27,119530753,24684,3985,12643
"Mexico","Mexico",0,"2020-07-05","2020-07-11",2020,28,119530753,25829,4364,12950
"Mexico","Mexico",0,"2020-07-12","2020-07-18",2020,29,119530753,27338,4158,13032
"Mexico","Mexico",0,"2020-07-19","2020-07-25",2020,30,119530753,26123,4486,13319
"Mexico","Mexico",0,"2020-07-26","2020-08-01",2020,31,119530753,24182,4098,13075
"Mexico","Mexico",0,"2020-08-02","2020-08-08",2020,32,119530753,23340,4534,12617
"Mexico","Mexico",0,"2020-08-09","2020-08-15",2020,33,119530753,22077,4537,12644
"Mexico","Mexico",0,"2020-08-16","2020-08-22",2020,34,119530753,21226,3711,12502
"Mexico","Mexico",0,"2020-08-23","2020-08-29",2020,35,119530753,20339,3565,12640
"Mexico","Mexico",0,"2020-08-30","2020-09-05",2020,36,119530753,19754,3507,12814
"Mexico","Mexico",0,"2020-09-06","2020-09-12",2020,37,119530753,18846,3278,13076
"Mexico","Mexico",0,"2020-09-13","2020-09-19",2020,38,119530753,18034,2654,13222
"Mexico","Mexico",0,"2020-09-20","2020-09-26",2020,39,119530753,18155,2985,12731
"Mexico","Mexico",0,"2020-09-27","2020-10-03",2020,40,119530753,17720,2637,12945
"Mexico","Mexico",0,"2020-10-04","2020-10-10",2020,41,119530753,17630,4762,13201
"Mexico","Mexico",0,"2020-10-11","2020-10-17",2020,42,119530753,17940,2417,13266
"Mexico","Mexico",0,"2020-10-18","2020-10-24",2020,43,119530753,18216,2684,13314
"Mexico","Mexico",0,"2020-10-25","2020-10-31",2020,44,119530753,18913,3010,13696
"Mexico","Mexico",0,"2020-11-01","2020-11-07",2020,45,119530753,19140,3055,13764
"Mexico","Mexico",0,"2020-11-08","2020-11-14",2020,46,119530753,19318,3451,13953
"Mexico","Mexico",0,"2020-11-15","2020-11-21",2020,47,119530753,19338,3114,14759
