"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Oman","Oman",0,"2015-01-01","2015-01-31",31,2015,1,4829473,732,0,"TBC"
"Oman","Oman",0,"2015-02-01","2015-02-28",28,2015,2,4829473,550,0,"TBC"
"Oman","Oman",0,"2015-03-01","2015-03-31",31,2015,3,4829473,602,0,"TBC"
"Oman","Oman",0,"2015-04-01","2015-04-30",30,2015,4,4829473,587,0,"TBC"
"Oman","Oman",0,"2015-05-01","2015-05-31",31,2015,5,4829473,611,0,"TBC"
"Oman","Oman",0,"2015-06-01","2015-06-30",30,2015,6,4829473,574,0,"TBC"
"Oman","Oman",0,"2015-07-01","2015-07-31",31,2015,7,4829473,660,0,"TBC"
"Oman","Oman",0,"2015-08-01","2015-08-31",31,2015,8,4829473,651,0,"TBC"
"Oman","Oman",0,"2015-09-01","2015-09-30",30,2015,9,4829473,561,0,"TBC"
"Oman","Oman",0,"2015-10-01","2015-10-31",31,2015,10,4829473,551,0,"TBC"
"Oman","Oman",0,"2015-11-01","2015-11-30",30,2015,11,4829473,586,0,"TBC"
"Oman","Oman",0,"2015-12-01","2015-12-31",31,2015,12,4829473,678,0,"TBC"
"Oman","Oman",0,"2016-01-01","2016-01-31",31,2016,1,4829473,801,0,"TBC"
"Oman","Oman",0,"2016-02-01","2016-02-29",29,2016,2,4829473,730,0,"TBC"
"Oman","Oman",0,"2016-03-01","2016-03-31",31,2016,3,4829473,830,0,"TBC"
"Oman","Oman",0,"2016-04-01","2016-04-30",30,2016,4,4829473,722,0,"TBC"
"Oman","Oman",0,"2016-05-01","2016-05-31",31,2016,5,4829473,724,0,"TBC"
"Oman","Oman",0,"2016-06-01","2016-06-30",30,2016,6,4829473,657,0,"TBC"
"Oman","Oman",0,"2016-07-01","2016-07-31",31,2016,7,4829473,750,0,"TBC"
"Oman","Oman",0,"2016-08-01","2016-08-31",31,2016,8,4829473,713,0,"TBC"
"Oman","Oman",0,"2016-09-01","2016-09-30",30,2016,9,4829473,685,0,"TBC"
"Oman","Oman",0,"2016-10-01","2016-10-31",31,2016,10,4829473,731,0,"TBC"
"Oman","Oman",0,"2016-11-01","2016-11-30",30,2016,11,4829473,710,0,"TBC"
"Oman","Oman",0,"2016-12-01","2016-12-31",31,2016,12,4829473,776,0,"TBC"
"Oman","Oman",0,"2017-01-01","2017-01-31",31,2017,1,4829473,773,0,"TBC"
"Oman","Oman",0,"2017-02-01","2017-02-28",28,2017,2,4829473,742,0,"TBC"
"Oman","Oman",0,"2017-03-01","2017-03-31",31,2017,3,4829473,815,0,"TBC"
"Oman","Oman",0,"2017-04-01","2017-04-30",30,2017,4,4829473,713,0,"TBC"
"Oman","Oman",0,"2017-05-01","2017-05-31",31,2017,5,4829473,725,0,"TBC"
"Oman","Oman",0,"2017-06-01","2017-06-30",30,2017,6,4829473,748,0,"TBC"
"Oman","Oman",0,"2017-07-01","2017-07-31",31,2017,7,4829473,760,0,"TBC"
"Oman","Oman",0,"2017-08-01","2017-08-31",31,2017,8,4829473,633,0,"TBC"
"Oman","Oman",0,"2017-09-01","2017-09-30",30,2017,9,4829473,708,0,"TBC"
"Oman","Oman",0,"2017-10-01","2017-10-31",31,2017,10,4829473,729,0,"TBC"
"Oman","Oman",0,"2017-11-01","2017-11-30",30,2017,11,4829473,728,0,"TBC"
"Oman","Oman",0,"2017-12-01","2017-12-31",31,2017,12,4829473,787,0,"TBC"
"Oman","Oman",0,"2018-01-01","2018-01-31",31,2018,1,4829473,874,0,"TBC"
"Oman","Oman",0,"2018-02-01","2018-02-28",28,2018,2,4829473,706,0,"TBC"
"Oman","Oman",0,"2018-03-01","2018-03-31",31,2018,3,4829473,771,0,"TBC"
"Oman","Oman",0,"2018-04-01","2018-04-30",30,2018,4,4829473,721,0,"TBC"
"Oman","Oman",0,"2018-05-01","2018-05-31",31,2018,5,4829473,687,0,"TBC"
"Oman","Oman",0,"2018-06-01","2018-06-30",30,2018,6,4829473,701,0,"TBC"
"Oman","Oman",0,"2018-07-01","2018-07-31",31,2018,7,4829473,733,0,"TBC"
"Oman","Oman",0,"2018-08-01","2018-08-31",31,2018,8,4829473,771,0,"TBC"
"Oman","Oman",0,"2018-09-01","2018-09-30",30,2018,9,4829473,706,0,"TBC"
"Oman","Oman",0,"2018-10-01","2018-10-31",31,2018,10,4829473,768,0,"TBC"
"Oman","Oman",0,"2018-11-01","2018-11-30",30,2018,11,4829473,715,0,"TBC"
"Oman","Oman",0,"2018-12-01","2018-12-31",31,2018,12,4829473,826,0,"TBC"
"Oman","Oman",0,"2019-01-01","2019-01-31",31,2019,1,4829473,813,0,"TBC"
"Oman","Oman",0,"2019-02-01","2019-02-28",28,2019,2,4829473,676,0,"TBC"
"Oman","Oman",0,"2019-03-01","2019-03-31",31,2019,3,4829473,763,0,"TBC"
"Oman","Oman",0,"2019-04-01","2019-04-30",30,2019,4,4829473,659,0,"TBC"
"Oman","Oman",0,"2019-05-01","2019-05-31",31,2019,5,4829473,677,0,"TBC"
"Oman","Oman",0,"2019-06-01","2019-06-30",30,2019,6,4829473,684,0,"TBC"
"Oman","Oman",0,"2019-07-01","2019-07-31",31,2019,7,4829473,683,0,"TBC"
"Oman","Oman",0,"2019-08-01","2019-08-31",31,2019,8,4829473,751,0,"TBC"
"Oman","Oman",0,"2019-09-01","2019-09-30",30,2019,9,4829473,730,0,"TBC"
"Oman","Oman",0,"2019-10-01","2019-10-31",31,2019,10,4829473,707,0,"TBC"
"Oman","Oman",0,"2019-11-01","2019-11-30",30,2019,11,4829473,707,0,"TBC"
"Oman","Oman",0,"2019-12-01","2019-12-31",31,2019,12,4829473,731,0,"TBC"
"Oman","Oman",0,"2020-01-01","2020-01-31",31,2020,1,4829473,817,0,"TBC"
"Oman","Oman",0,"2020-02-01","2020-02-29",29,2020,2,4829473,696,0,"TBC"
"Oman","Oman",0,"2020-03-01","2020-03-31",31,2020,3,4829473,817,1,"TBC"
"Oman","Oman",0,"2020-04-01","2020-04-30",30,2020,4,4829473,694,10,"TBC"
"Oman","Oman",0,"2020-05-01","2020-05-31",31,2020,5,4829473,758,38,"TBC"
"Oman","Oman",0,"2020-06-01","2020-06-30",30,2020,6,4829473,868,127,"TBC"
"Oman","Oman",0,"2020-07-01","2020-07-31",31,2020,7,4829473,1029,245,"TBC"
"Oman","Oman",0,"2020-08-01","2020-08-31",31,2020,8,4829473,1007,264,"TBC"
"Oman","Oman",0,"2020-09-01","2020-09-30",30,2020,9,4829473,1073,250,"TBC"
"Oman","Oman",0,"2020-10-01","2020-10-31",31,2020,10,4829473,1070,273,"TBC"
"Oman","Oman",0,"2020-11-01","2020-11-30",30,2020,11,4829473,893,215,"TBC"
"Oman","Oman",0,"2020-12-01","2020-12-31",31,2020,12,4829473,863,76,"TBC"
"Oman","Oman",0,"2021-01-01","2021-01-31",31,2021,1,4829473,835,30,"TBC"
"Oman","Oman",0,"2021-02-01","2021-02-28",28,2021,2,4829473,734,41,"TBC"
