"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Russia","Moscow",0,"2010-01-01","2010-01-31",2010,1,12537954,10430,0,"TBC"
"Russia","Moscow",0,"2010-02-01","2010-02-28",2010,2,12537954,9573,0,"TBC"
"Russia","Moscow",0,"2010-03-01","2010-03-31",2010,3,12537954,10528,0,"TBC"
"Russia","Moscow",0,"2010-04-01","2010-04-30",2010,4,12537954,9501,0,"TBC"
"Russia","Moscow",0,"2010-05-01","2010-05-31",2010,5,12537954,9482,0,"TBC"
"Russia","Moscow",0,"2010-06-01","2010-06-30",2010,6,12537954,9529,0,"TBC"
"Russia","Moscow",0,"2010-07-01","2010-07-31",2010,7,12537954,14340,0,"TBC"
"Russia","Moscow",0,"2010-08-01","2010-08-31",2010,8,12537954,15016,0,"TBC"
"Russia","Moscow",0,"2010-09-01","2010-09-30",2010,9,12537954,9573,0,"TBC"
"Russia","Moscow",0,"2010-10-01","2010-10-31",2010,10,12537954,9350,0,"TBC"
"Russia","Moscow",0,"2010-11-01","2010-11-30",2010,11,12537954,9091,0,"TBC"
"Russia","Moscow",0,"2010-12-01","2010-12-31",2010,12,12537954,9664,0,"TBC"
"Russia","Moscow",0,"2011-01-01","2011-01-31",2011,1,12537954,10113,0,"TBC"
"Russia","Moscow",0,"2011-02-01","2011-02-28",2011,2,12537954,9011,0,"TBC"
"Russia","Moscow",0,"2011-03-01","2011-03-31",2011,3,12537954,9878,0,"TBC"
"Russia","Moscow",0,"2011-04-01","2011-04-30",2011,4,12537954,9274,0,"TBC"
"Russia","Moscow",0,"2011-05-01","2011-05-31",2011,5,12537954,9211,0,"TBC"
"Russia","Moscow",0,"2011-06-01","2011-06-30",2011,6,12537954,8608,0,"TBC"
"Russia","Moscow",0,"2011-07-01","2011-07-31",2011,7,12537954,8906,0,"TBC"
"Russia","Moscow",0,"2011-08-01","2011-08-31",2011,8,12537954,9279,0,"TBC"
"Russia","Moscow",0,"2011-09-01","2011-09-30",2011,9,12537954,9117,0,"TBC"
"Russia","Moscow",0,"2011-10-01","2011-10-31",2011,10,12537954,9614,0,"TBC"
"Russia","Moscow",0,"2011-11-01","2011-11-30",2011,11,12537954,9465,0,"TBC"
"Russia","Moscow",0,"2011-12-01","2011-12-31",2011,12,12537954,9435,0,"TBC"
"Russia","Moscow",0,"2012-01-01","2012-01-31",2012,1,12537954,10156,0,"TBC"
"Russia","Moscow",0,"2012-02-01","2012-02-29",2012,2,12537954,9786,0,"TBC"
"Russia","Moscow",0,"2012-03-01","2012-03-31",2012,3,12537954,10100,0,"TBC"
"Russia","Moscow",0,"2012-04-01","2012-04-30",2012,4,12537954,9480,0,"TBC"
"Russia","Moscow",0,"2012-05-01","2012-05-31",2012,5,12537954,9459,0,"TBC"
"Russia","Moscow",0,"2012-06-01","2012-06-30",2012,6,12537954,8963,0,"TBC"
"Russia","Moscow",0,"2012-07-01","2012-07-31",2012,7,12537954,9193,0,"TBC"
"Russia","Moscow",0,"2012-08-01","2012-08-31",2012,8,12537954,9184,0,"TBC"
"Russia","Moscow",0,"2012-09-01","2012-09-30",2012,9,12537954,9233,0,"TBC"
"Russia","Moscow",0,"2012-10-01","2012-10-31",2012,10,12537954,10493,0,"TBC"
"Russia","Moscow",0,"2012-11-01","2012-11-30",2012,11,12537954,9577,0,"TBC"
"Russia","Moscow",0,"2012-12-01","2012-12-31",2012,12,12537954,10576,0,"TBC"
"Russia","Moscow",0,"2013-01-01","2013-01-31",2013,1,12537954,11184,0,"TBC"
"Russia","Moscow",0,"2013-02-01","2013-02-28",2013,2,12537954,9396,0,"TBC"
"Russia","Moscow",0,"2013-03-01","2013-03-31",2013,3,12537954,10084,0,"TBC"
"Russia","Moscow",0,"2013-04-01","2013-04-30",2013,4,12537954,9894,0,"TBC"
"Russia","Moscow",0,"2013-05-01","2013-05-31",2013,5,12537954,9724,0,"TBC"
"Russia","Moscow",0,"2013-06-01","2013-06-30",2013,6,12537954,8520,0,"TBC"
"Russia","Moscow",0,"2013-07-01","2013-07-31",2013,7,12537954,9384,0,"TBC"
"Russia","Moscow",0,"2013-08-01","2013-08-31",2013,8,12537954,9261,0,"TBC"
"Russia","Moscow",0,"2013-09-01","2013-09-30",2013,9,12537954,9210,0,"TBC"
"Russia","Moscow",0,"2013-10-01","2013-10-31",2013,10,12537954,10143,0,"TBC"
"Russia","Moscow",0,"2013-11-01","2013-11-30",2013,11,12537954,9434,0,"TBC"
"Russia","Moscow",0,"2013-12-01","2013-12-31",2013,12,12537954,9967,0,"TBC"
"Russia","Moscow",0,"2014-01-01","2014-01-31",2014,1,12537954,10311,0,"TBC"
"Russia","Moscow",0,"2014-02-01","2014-02-28",2014,2,12537954,9235,0,"TBC"
"Russia","Moscow",0,"2014-03-01","2014-03-31",2014,3,12537954,10256,0,"TBC"
"Russia","Moscow",0,"2014-04-01","2014-04-30",2014,4,12537954,9884,0,"TBC"
"Russia","Moscow",0,"2014-05-01","2014-05-31",2014,5,12537954,10219,0,"TBC"
"Russia","Moscow",0,"2014-06-01","2014-06-30",2014,6,12537954,8924,0,"TBC"
