"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Slovakia","Slovakia",0,"2014-12-29","2015-01-04",7,2015,1,5447622,1112,0,"TBC"
"Slovakia","Slovakia",0,"2015-01-05","2015-01-11",7,2015,2,5447622,1187,0,"TBC"
"Slovakia","Slovakia",0,"2015-01-12","2015-01-18",7,2015,3,5447622,1210,0,"TBC"
"Slovakia","Slovakia",0,"2015-01-19","2015-01-25",7,2015,4,5447622,1235,0,"TBC"
"Slovakia","Slovakia",0,"2015-01-26","2015-02-01",7,2015,5,5447622,1292,0,"TBC"
"Slovakia","Slovakia",0,"2015-02-02","2015-02-08",7,2015,6,5447622,1226,0,"TBC"
"Slovakia","Slovakia",0,"2015-02-09","2015-02-15",7,2015,7,5447622,1275,0,"TBC"
"Slovakia","Slovakia",0,"2015-02-16","2015-02-22",7,2015,8,5447622,1266,0,"TBC"
"Slovakia","Slovakia",0,"2015-02-23","2015-03-01",7,2015,9,5447622,1235,0,"TBC"
"Slovakia","Slovakia",0,"2015-03-02","2015-03-08",7,2015,10,5447622,1164,0,"TBC"
"Slovakia","Slovakia",0,"2015-03-09","2015-03-15",7,2015,11,5447622,1186,0,"TBC"
"Slovakia","Slovakia",0,"2015-03-16","2015-03-22",7,2015,12,5447622,1102,0,"TBC"
"Slovakia","Slovakia",0,"2015-03-23","2015-03-29",7,2015,13,5447622,1088,0,"TBC"
"Slovakia","Slovakia",0,"2015-03-30","2015-04-05",7,2015,14,5447622,1037,0,"TBC"
"Slovakia","Slovakia",0,"2015-04-06","2015-04-12",7,2015,15,5447622,1090,0,"TBC"
"Slovakia","Slovakia",0,"2015-04-13","2015-04-19",7,2015,16,5447622,1078,0,"TBC"
"Slovakia","Slovakia",0,"2015-04-20","2015-04-26",7,2015,17,5447622,1062,0,"TBC"
"Slovakia","Slovakia",0,"2015-04-27","2015-05-03",7,2015,18,5447622,980,0,"TBC"
"Slovakia","Slovakia",0,"2015-05-04","2015-05-10",7,2015,19,5447622,958,0,"TBC"
"Slovakia","Slovakia",0,"2015-05-11","2015-05-17",7,2015,20,5447622,915,0,"TBC"
"Slovakia","Slovakia",0,"2015-05-18","2015-05-24",7,2015,21,5447622,975,0,"TBC"
"Slovakia","Slovakia",0,"2015-05-25","2015-05-31",7,2015,22,5447622,926,0,"TBC"
"Slovakia","Slovakia",0,"2015-06-01","2015-06-07",7,2015,23,5447622,1017,0,"TBC"
"Slovakia","Slovakia",0,"2015-06-08","2015-06-14",7,2015,24,5447622,1004,0,"TBC"
"Slovakia","Slovakia",0,"2015-06-15","2015-06-21",7,2015,25,5447622,910,0,"TBC"
"Slovakia","Slovakia",0,"2015-06-22","2015-06-28",7,2015,26,5447622,911,0,"TBC"
"Slovakia","Slovakia",0,"2015-06-29","2015-07-05",7,2015,27,5447622,1007,0,"TBC"
"Slovakia","Slovakia",0,"2015-07-06","2015-07-12",7,2015,28,5447622,1006,0,"TBC"
"Slovakia","Slovakia",0,"2015-07-13","2015-07-19",7,2015,29,5447622,920,0,"TBC"
"Slovakia","Slovakia",0,"2015-07-20","2015-07-26",7,2015,30,5447622,1131,0,"TBC"
"Slovakia","Slovakia",0,"2015-07-27","2015-08-02",7,2015,31,5447622,861,0,"TBC"
"Slovakia","Slovakia",0,"2015-08-03","2015-08-09",7,2015,32,5447622,1025,0,"TBC"
"Slovakia","Slovakia",0,"2015-08-10","2015-08-16",7,2015,33,5447622,1120,0,"TBC"
"Slovakia","Slovakia",0,"2015-08-17","2015-08-23",7,2015,34,5447622,923,0,"TBC"
"Slovakia","Slovakia",0,"2015-08-24","2015-08-30",7,2015,35,5447622,934,0,"TBC"
"Slovakia","Slovakia",0,"2015-08-31","2015-09-06",7,2015,36,5447622,928,0,"TBC"
"Slovakia","Slovakia",0,"2015-09-07","2015-09-13",7,2015,37,5447622,909,0,"TBC"
"Slovakia","Slovakia",0,"2015-09-14","2015-09-20",7,2015,38,5447622,1004,0,"TBC"
"Slovakia","Slovakia",0,"2015-09-21","2015-09-27",7,2015,39,5447622,947,0,"TBC"
"Slovakia","Slovakia",0,"2015-09-28","2015-10-04",7,2015,40,5447622,904,0,"TBC"
"Slovakia","Slovakia",0,"2015-10-05","2015-10-11",7,2015,41,5447622,924,0,"TBC"
"Slovakia","Slovakia",0,"2015-10-12","2015-10-18",7,2015,42,5447622,975,0,"TBC"
