"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Sweden","Sweden",0,"2015-01-01","2015-01-07",2015,1,10338368,1937,0,"TBC"
"Sweden","Sweden",0,"2015-01-08","2015-01-14",2015,2,10338368,1954,0,"TBC"
"Sweden","Sweden",0,"2015-01-15","2015-01-21",2015,3,10338368,1937,0,"TBC"
"Sweden","Sweden",0,"2015-01-22","2015-01-28",2015,4,10338368,1929,0,"TBC"
"Sweden","Sweden",0,"2015-01-29","2015-02-04",2015,5,10338368,1966,0,"TBC"
"Sweden","Sweden",0,"2015-02-05","2015-02-11",2015,6,10338368,1918,0,"TBC"
"Sweden","Sweden",0,"2015-02-12","2015-02-18",2015,7,10338368,2050,0,"TBC"
"Sweden","Sweden",0,"2015-02-19","2015-02-25",2015,8,10338368,2149,0,"TBC"
"Sweden","Sweden",0,"2015-02-26","2015-03-04",2015,9,10338368,2041,0,"TBC"
"Sweden","Sweden",0,"2015-03-05","2015-03-11",2015,10,10338368,1993,0,"TBC"
"Sweden","Sweden",0,"2015-03-12","2015-03-18",2015,11,10338368,1881,0,"TBC"
"Sweden","Sweden",0,"2015-03-19","2015-03-25",2015,12,10338368,1809,0,"TBC"
"Sweden","Sweden",0,"2015-03-26","2015-04-01",2015,13,10338368,2044,0,"TBC"
"Sweden","Sweden",0,"2015-04-02","2015-04-08",2015,14,10338368,1799,0,"TBC"
"Sweden","Sweden",0,"2015-04-09","2015-04-15",2015,15,10338368,1813,0,"TBC"
"Sweden","Sweden",0,"2015-04-16","2015-04-22",2015,16,10338368,1843,0,"TBC"
"Sweden","Sweden",0,"2015-04-23","2015-04-29",2015,17,10338368,1724,0,"TBC"
"Sweden","Sweden",0,"2015-04-30","2015-05-06",2015,18,10338368,1634,0,"TBC"
"Sweden","Sweden",0,"2015-05-07","2015-05-13",2015,19,10338368,1662,0,"TBC"
"Sweden","Sweden",0,"2015-05-14","2015-05-20",2015,20,10338368,1667,0,"TBC"
