"country","region","region_code","start_date","end_date","days","year","quarter","population","total_deaths","covid_deaths","expected_deaths"
"Tajikistan","Tajikistan",0,"2014-12-21","2015-03-20",90,2015,1,9749625,9235,0,"TBC"
"Tajikistan","Tajikistan",0,"2015-03-21","2015-06-19",91,2015,2,9749625,8093,0,"TBC"
"Tajikistan","Tajikistan",0,"2015-06-20","2015-09-19",92,2015,3,9749625,7716,0,"TBC"
"Tajikistan","Tajikistan",0,"2015-09-20","2015-12-20",92,2015,4,9749625,8518,0,"TBC"
"Tajikistan","Tajikistan",0,"2015-12-21","2016-03-20",91,2016,1,9749625,8646,0,"TBC"
"Tajikistan","Tajikistan",0,"2016-03-21","2016-06-19",91,2016,2,9749625,7699,0,"TBC"
"Tajikistan","Tajikistan",0,"2016-06-20","2016-09-19",92,2016,3,9749625,7722,0,"TBC"
"Tajikistan","Tajikistan",0,"2016-09-20","2016-12-20",92,2016,4,9749625,10067,0,"TBC"
"Tajikistan","Tajikistan",0,"2016-12-21","2017-03-20",90,2017,1,9749625,8681,0,"TBC"
"Tajikistan","Tajikistan",0,"2017-03-21","2017-06-19",91,2017,2,9749625,8058,0,"TBC"
"Tajikistan","Tajikistan",0,"2017-06-20","2017-09-19",92,2017,3,9749625,7360,0,"TBC"
"Tajikistan","Tajikistan",0,"2017-09-20","2017-12-20",92,2017,4,9749625,7928,0,"TBC"
"Tajikistan","Tajikistan",0,"2017-12-21","2018-03-20",90,2018,1,9749625,8333,0,"TBC"
"Tajikistan","Tajikistan",0,"2018-03-21","2018-06-19",91,2018,2,9749625,7880,0,"TBC"
"Tajikistan","Tajikistan",0,"2018-06-20","2018-09-19",92,2018,3,9749625,7775,0,"TBC"
"Tajikistan","Tajikistan",0,"2018-09-20","2018-12-20",92,2018,4,9749625,8711,0,"TBC"
"Tajikistan","Tajikistan",0,"2018-12-21","2019-03-20",90,2019,1,9749625,8912,0,"TBC"
"Tajikistan","Tajikistan",0,"2019-03-21","2019-06-19",91,2019,2,9749625,7957,0,"TBC"
"Tajikistan","Tajikistan",0,"2019-06-20","2019-09-19",92,2019,3,9749625,8180,0,"TBC"
"Tajikistan","Tajikistan",0,"2019-09-20","2019-12-20",92,2019,4,9749625,8488,0,"TBC"
"Tajikistan","Tajikistan",0,"2019-12-21","2020-03-20",91,2020,1,9749625,8848,0,"TBC"
"Tajikistan","Tajikistan",0,"2020-03-21","2020-06-19",91,2020,2,9749625,9314,51,"TBC"
"Tajikistan","Tajikistan",0,"2020-06-20","2020-09-19",92,2020,3,9749625,9547,22,"TBC"
"Tajikistan","Tajikistan",0,"2020-09-20","2020-12-20",92,2020,4,9749625,14917,16,"TBC"
