"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Uruguay","Uruguay",0,"2015-01-01","2015-01-31",31,2015,1,3518552,2514,0,"TBC"
"Uruguay","Uruguay",0,"2015-02-01","2015-02-28",28,2015,2,3518552,2219,0,"TBC"
"Uruguay","Uruguay",0,"2015-03-01","2015-03-31",31,2015,3,3518552,2474,0,"TBC"
"Uruguay","Uruguay",0,"2015-04-01","2015-04-30",30,2015,4,3518552,2485,0,"TBC"
"Uruguay","Uruguay",0,"2015-05-01","2015-05-31",31,2015,5,3518552,2736,0,"TBC"
"Uruguay","Uruguay",0,"2015-06-01","2015-06-30",30,2015,6,3518552,2948,0,"TBC"
"Uruguay","Uruguay",0,"2015-07-01","2015-07-31",31,2015,7,3518552,3545,0,"TBC"
"Uruguay","Uruguay",0,"2015-08-01","2015-08-31",31,2015,8,3518552,3100,0,"TBC"
"Uruguay","Uruguay",0,"2015-09-01","2015-09-30",30,2015,9,3518552,2940,0,"TBC"
"Uruguay","Uruguay",0,"2015-10-01","2015-10-31",31,2015,10,3518552,2804,0,"TBC"
"Uruguay","Uruguay",0,"2015-11-01","2015-11-30",30,2015,11,3518552,2544,0,"TBC"
"Uruguay","Uruguay",0,"2015-12-01","2015-12-31",31,2015,12,3518552,2658,0,"TBC"
"Uruguay","Uruguay",0,"2016-01-01","2016-01-31",31,2016,1,3518552,2576,0,"TBC"
"Uruguay","Uruguay",0,"2016-02-01","2016-02-29",29,2016,2,3518552,2403,0,"TBC"
"Uruguay","Uruguay",0,"2016-03-01","2016-03-31",31,2016,3,3518552,2558,0,"TBC"
"Uruguay","Uruguay",0,"2016-04-01","2016-04-30",30,2016,4,3518552,2444,0,"TBC"
"Uruguay","Uruguay",0,"2016-05-01","2016-05-31",31,2016,5,3518552,3351,0,"TBC"
"Uruguay","Uruguay",0,"2016-06-01","2016-06-30",30,2016,6,3518552,3577,0,"TBC"
"Uruguay","Uruguay",0,"2016-07-01","2016-07-31",31,2016,7,3518552,3358,0,"TBC"
"Uruguay","Uruguay",0,"2016-08-01","2016-08-31",31,2016,8,3518552,3187,0,"TBC"
"Uruguay","Uruguay",0,"2016-09-01","2016-09-30",30,2016,9,3518552,2956,0,"TBC"
"Uruguay","Uruguay",0,"2016-10-01","2016-10-31",31,2016,10,3518552,2702,0,"TBC"
"Uruguay","Uruguay",0,"2016-11-01","2016-11-30",30,2016,11,3518552,2555,0,"TBC"
"Uruguay","Uruguay",0,"2016-12-01","2016-12-31",31,2016,12,3518552,2606,0,"TBC"
"Uruguay","Uruguay",0,"2017-01-01","2017-01-31",31,2017,1,3518552,2565,0,"TBC"
"Uruguay","Uruguay",0,"2017-02-01","2017-02-28",28,2017,2,3518552,2265,0,"TBC"
"Uruguay","Uruguay",0,"2017-03-01","2017-03-31",31,2017,3,3518552,2624,0,"TBC"
"Uruguay","Uruguay",0,"2017-04-01","2017-04-30",30,2017,4,3518552,2507,0,"TBC"
"Uruguay","Uruguay",0,"2017-05-01","2017-05-31",31,2017,5,3518552,2732,0,"TBC"
"Uruguay","Uruguay",0,"2017-06-01","2017-06-30",30,2017,6,3518552,3403,0,"TBC"
"Uruguay","Uruguay",0,"2017-07-01","2017-07-31",31,2017,7,3518552,3415,0,"TBC"
"Uruguay","Uruguay",0,"2017-08-01","2017-08-31",31,2017,8,3518552,3048,0,"TBC"
"Uruguay","Uruguay",0,"2017-09-01","2017-09-30",30,2017,9,3518552,2833,0,"TBC"
"Uruguay","Uruguay",0,"2017-10-01","2017-10-31",31,2017,10,3518552,2678,0,"TBC"
"Uruguay","Uruguay",0,"2017-11-01","2017-11-30",30,2017,11,3518552,2458,0,"TBC"
"Uruguay","Uruguay",0,"2017-12-01","2017-12-31",31,2017,12,3518552,2645,0,"TBC"
"Uruguay","Uruguay",0,"2018-01-01","2018-01-31",31,2018,1,3518552,2525,0,"TBC"
"Uruguay","Uruguay",0,"2018-02-01","2018-02-28",28,2018,2,3518552,2231,0,"TBC"
"Uruguay","Uruguay",0,"2018-03-01","2018-03-31",31,2018,3,3518552,2518,0,"TBC"
