region,covid_deaths,excess_deaths,excess_deaths_per_100k,start_date,end_date
Russia,371450,1233150,850,2020-04-01,2022-05-31
United States,1008700,1165290,346,2020-03-09,2022-06-05
Brazil,666760,765540,357,2020-03-01,2022-05-31
Mexico,317400,664890,525,2020-03-30,2022-05-15
Egypt,24370,313390,287,2020-04-01,2022-03-31
Iran,138940,269950,307,2020-02-24,2022-03-13
South Africa,101530,269410,454,2020-04-12,2022-07-09
Philippines,54000,221500,195,2020-03-01,2022-01-31
Italy,163610,209870,354,2020-03-02,2022-05-01
Peru,214390,196560,583,2020-03-23,2022-07-10
Ukraine,106860,195210,448,2020-04-01,2022-01-31
Poland,116400,187300,489,2020-03-30,2022-06-26
Colombia,140170,182230,354,2020-04-06,2022-07-10
Britain,176520,163490,243,2020-03-14,2022-07-01
Germany,141300,139800,168,2020-03-16,2022-07-03
Romania,65640,128660,666,2020-03-30,2022-05-29
Spain,107240,122670,258,2020-03-09,2022-05-29
France,149190,115620,171,2020-03-09,2022-06-12
Thailand,30710,96820,135,2020-04-01,2022-06-30
Kazakhstan,19260,89590,467,2020-06-01,2022-05-31
Ecuador,23100,74680,420,2020-03-23,2022-07-10
Bulgaria,37120,71640,1040,2020-04-20,2022-06-05
Serbia,16060,60980,887,2020-04-01,2022-05-31
Japan,29560,59570,48,2020-03-01,2022-04-30
Bolivia,20940,56600,469,2020-04-01,2022-01-31
Cuba,8320,53250,473,2020-04-01,2021-12-31
Algeria,2710,52020,118,2020-04-01,2020-12-31
Chile,46490,51330,263,2020-04-06,2022-07-10
Guatemala,16070,46050,262,2020-05-18,2021-12-26
Czech Republic,40300,45690,435,2020-03-30,2022-05-29
Hungary,46510,45280,466,2020-04-06,2022-06-05
Uzbekistan,1610,38610,113,2020-07-01,2022-03-31
Netherlands,22500,38550,220,2020-03-16,2022-07-10
South Korea,22940,37470,72,2020-03-02,2022-05-01
Belarus,2250,33690,352,2020-04-01,2021-03-31
Canada,36570,32500,85,2020-03-22,2022-02-26
Greece,29880,32480,311,2020-03-30,2022-06-05
Argentina,43220,32120,71,2020-04-01,2020-12-31
Portugal,24140,29950,291,2020-03-23,2022-07-03
Slovakia,20000,28240,518,2020-09-28,2022-05-15
Belgium,31970,27250,235,2020-03-16,2022-06-19
Bosnia and Herzegovina,15720,24750,757,2020-04-01,2022-03-31
Paraguay,18840,23620,352,2020-08-01,2022-05-31
Croatia,15950,22450,553,2020-04-20,2022-06-05
Lithuania,9110,20760,745,2020-05-25,2022-06-12
Austria,20000,20210,227,2020-03-23,2022-07-03
Georgia,13800,19970,531,2020-02-01,2021-12-31
Moldova,10840,19270,629,2020-04-01,2022-03-31
North Macedonia,9210,17410,828,2020-04-01,2022-03-31
Albania,3460,16680,584,2020-06-01,2022-03-31
Switzerland,13950,15740,181,2020-03-16,2022-06-26
Kyrgyzstan,3420,15110,231,2020-06-01,2022-05-31
Lebanon,9080,14530,260,2020-07-01,2021-12-31
Tajikistan,120,14080,144,2020-03-21,2021-12-20
Sweden,19300,13610,130,2020-03-16,2022-06-12
Hong Kong,9350,12590,168,2020-08-01,2022-05-31
Israel,10880,11440,123,2020-03-30,2022-06-12
Latvia,5820,9570,511,2020-10-19,2022-06-26
El Salvador,670,8560,135,2020-06-01,2020-08-31
Uruguay,7190,8530,249,2020-10-01,2022-05-31
Finland,4410,7830,141,2020-03-30,2022-06-05
Panama,7280,7520,173,2020-04-01,2021-10-31
Tunisia,7160,6500,54,2020-06-15,2021-02-14
Slovenia,6620,6090,287,2020-04-06,2022-06-19
Kosovo,3090,6080,341,2020-07-01,2022-05-31
Jamaica,2370,6070,215,2020-09-01,2021-11-30
Costa Rica,7350,6010,117,2020-02-01,2021-12-31
Ireland,7520,5100,102,2020-03-01,2022-06-30
Australia,5860,4870,19,2020-04-06,2022-03-27
Estonia,2550,4750,358,2020-04-27,2022-07-03
Denmark,6440,4720,81,2020-03-23,2022-07-10
Nicaragua,130,4570,67,2020-06-01,2020-12-31
Oman,4210,4540,100,2020-06-01,2022-06-30
Dominican Republic,4130,4530,41,2020-03-01,2021-10-31
Taiwan,6650,4360,18,2020-02-01,2022-06-30
Norway,3050,4240,79,2020-03-30,2022-07-10
Jordan,3820,4190,38,2020-09-01,2020-12-31
Kuwait,910,3260,77,2020-05-01,2020-12-31
Montenegro,2060,2990,476,2020-07-27,2021-10-31
Malaysia,26290,2510,7,2020-04-01,2021-09-30
Singapore,1270,2150,39,2020-02-01,2022-03-31
Palestine,1390,1500,29,2020-07-01,2020-12-31
Cyprus,1020,1240,139,2020-11-30,2022-06-05
Mongolia,2120,1240,37,2020-02-01,2022-06-30
Mauritius,790,1220,94,2020-02-01,2021-12-31
Qatar,640,1070,40,2020-06-01,2022-05-31
French Polynesia,610,640,212,2020-11-01,2021-12-31
Malta,680,630,119,2020-10-19,2022-06-12
Luxembourg,1040,320,50,2020-04-06,2022-06-05
Aruba,140,280,261,2020-12-01,2021-12-31
Belize,220,200,50,2020-10-01,2020-12-31
Cape Verde,70,180,31,2020-09-01,2020-12-31
Iceland,120,160,42,2020-02-03,2022-06-05
Suriname,100,130,21,2020-08-01,2020-12-31
San Marino,70,70,217,2020-12-01,2022-05-31
Gibraltar,70,50,167,2021-01-01,2021-01-31
Seychelles,90,50,43,2021-06-01,2021-12-31
Andorra,40,30,43,2020-05-01,2020-12-31
Barbados,30,30,10,2021-08-01,2021-09-30
Monaco,20,30,78,2022-01-01,2022-06-30
Antigua and Barbuda,80,20,18,2021-09-01,2021-12-31
Liechtenstein,40,0,5,2021-01-01,2022-05-31
