Var1,Freq
Albania,21
Andorra,12
Antigua and Barbuda,12
Argentina,12
Armenia,22
Aruba,21
Australia,96
Austria,101
Azerbaijan,22
Barbados,21
Belarus,15
Belgium,101
Belize,12
Bermuda,12
Bolivia,21
Bosnia and Herzegovina,21
Brazil,23
Britain,102
Brunei,12
Bulgaria,102
Canada,88
Chile,102
Colombia,88
Costa Rica,12
Croatia,96
Cuba,12
Cyprus,98
Czech Republic,97
Denmark,102
Dominican Republic,9
Ecuador,103
Egypt,18
El Salvador,8
Estonia,103
Faroe Islands,22
Finland,101
France,101
French Polynesia,21
Georgia,18
Germany,102
Gibraltar,13
Greece,96
Greenland,21
Guatemala,91
Hong Kong,20
Hungary,99
Iceland,96
Iran,103
Ireland,22
Israel,100
Italy,96
Jamaica,11
Japan,22
Jordan,12
Kazakhstan,22
Kosovo,21
Kuwait,12
Kyrgyzstan,22
Latvia,101
Lebanon,22
Liechtenstein,23
Lithuania,101
Luxembourg,97
Macao,22
Malaysia,21
Maldives,12
Malta,99
Mauritius,18
Mexico,98
Moldova,21
Monaco,23
Mongolia,23
Montenegro,73
Netherlands,102
New Zealand,101
Nicaragua,8
North Macedonia,22
Norway,102
Oman,23
Palestine,12
Panama,18
Paraguay,20
Peru,104
Philippines,19
Poland,102
Portugal,101
Qatar,22
Romania,96
Russia,24
San Marino,23
Serbia,23
Seychelles,18
Singapore,21
Slovakia,98
Slovenia,99
South Africa,103
South Korea,96
Spain,99
Sweden,100
Switzerland,100
Taiwan,23
Tajikistan,4
Thailand,24
Tunisia,58
Ukraine,22
United States,101
Uruguay,22
Uzbekistan,21
