country,region,start_date,end_date,population,total_deaths
Belgium,Belgium,01/01/2017,01/01/2017,11431406,351
Belgium,Belgium,02/01/2017,02/01/2017,11431406,361
Belgium,Belgium,03/01/2017,03/01/2017,11431406,338
Belgium,Belgium,04/01/2017,04/01/2017,11431406,360
Belgium,Belgium,05/01/2017,05/01/2017,11431406,378
Belgium,Belgium,06/01/2017,06/01/2017,11431406,344
Belgium,Belgium,07/01/2017,07/01/2017,11431406,417
Belgium,Belgium,08/01/2017,08/01/2017,11431406,359
Belgium,Belgium,09/01/2017,09/01/2017,11431406,367
Belgium,Belgium,10/01/2017,10/01/2017,11431406,420
Belgium,Belgium,11/01/2017,11/01/2017,11431406,396
Belgium,Belgium,12/01/2017,12/01/2017,11431406,399
Belgium,Belgium,13/01/2017,13/01/2017,11431406,419
Belgium,Belgium,14/01/2017,14/01/2017,11431406,382
Belgium,Belgium,15/01/2017,15/01/2017,11431406,352
Belgium,Belgium,16/01/2017,16/01/2017,11431406,370
Belgium,Belgium,17/01/2017,17/01/2017,11431406,388
Belgium,Belgium,18/01/2017,18/01/2017,11431406,376
Belgium,Belgium,19/01/2017,19/01/2017,11431406,356
Belgium,Belgium,20/01/2017,20/01/2017,11431406,379
Belgium,Belgium,21/01/2017,21/01/2017,11431406,388
Belgium,Belgium,22/01/2017,22/01/2017,11431406,388
Belgium,Belgium,23/01/2017,23/01/2017,11431406,368
Belgium,Belgium,24/01/2017,24/01/2017,11431406,376
Belgium,Belgium,25/01/2017,25/01/2017,11431406,378
Belgium,Belgium,26/01/2017,26/01/2017,11431406,383
Belgium,Belgium,27/01/2017,27/01/2017,11431406,393
Belgium,Belgium,28/01/2017,28/01/2017,11431406,377
Belgium,Belgium,29/01/2017,29/01/2017,11431406,416
Belgium,Belgium,30/01/2017,30/01/2017,11431406,416
Belgium,Belgium,31/01/2017,31/01/2017,11431406,433
Belgium,Belgium,01/02/2017,01/02/2017,11431406,431
Belgium,Belgium,02/02/2017,02/02/2017,11431406,458
Belgium,Belgium,03/02/2017,03/02/2017,11431406,444
Belgium,Belgium,04/02/2017,04/02/2017,11431406,410
Belgium,Belgium,05/02/2017,05/02/2017,11431406,358
Belgium,Belgium,06/02/2017,06/02/2017,11431406,383
Belgium,Belgium,07/02/2017,07/02/2017,11431406,407
Belgium,Belgium,08/02/2017,08/02/2017,11431406,382
Belgium,Belgium,09/02/2017,09/02/2017,11431406,383
Belgium,Belgium,10/02/2017,10/02/2017,11431406,374
Belgium,Belgium,11/02/2017,11/02/2017,11431406,407
Belgium,Belgium,12/02/2017,12/02/2017,11431406,355
Belgium,Belgium,13/02/2017,13/02/2017,11431406,406
Belgium,Belgium,14/02/2017,14/02/2017,11431406,377
Belgium,Belgium,15/02/2017,15/02/2017,11431406,381
Belgium,Belgium,16/02/2017,16/02/2017,11431406,399
Belgium,Belgium,17/02/2017,17/02/2017,11431406,379
Belgium,Belgium,18/02/2017,18/02/2017,11431406,362
Belgium,Belgium,19/02/2017,19/02/2017,11431406,327
Belgium,Belgium,20/02/2017,20/02/2017,11431406,320
Belgium,Belgium,21/02/2017,21/02/2017,11431406,334
Belgium,Belgium,22/02/2017,22/02/2017,11431406,360
Belgium,Belgium,23/02/2017,23/02/2017,11431406,376
Belgium,Belgium,24/02/2017,24/02/2017,11431406,335
Belgium,Belgium,25/02/2017,25/02/2017,11431406,349
Belgium,Belgium,26/02/2017,26/02/2017,11431406,315
Belgium,Belgium,27/02/2017,27/02/2017,11431406,334
Belgium,Belgium,28/02/2017,28/02/2017,11431406,370
Belgium,Belgium,01/03/2017,01/03/2017,11431406,330
Belgium,Belgium,02/03/2017,02/03/2017,11431406,332
Belgium,Belgium,03/03/2017,03/03/2017,11431406,317
Belgium,Belgium,04/03/2017,04/03/2017,11431406,345
Belgium,Belgium,05/03/2017,05/03/2017,11431406,287
Belgium,Belgium,06/03/2017,06/03/2017,11431406,314
Belgium,Belgium,07/03/2017,07/03/2017,11431406,306
Belgium,Belgium,08/03/2017,08/03/2017,11431406,315
Belgium,Belgium,09/03/2017,09/03/2017,11431406,302
Belgium,Belgium,10/03/2017,10/03/2017,11431406,310
Belgium,Belgium,11/03/2017,11/03/2017,11431406,293
Belgium,Belgium,12/03/2017,12/03/2017,11431406,298
Belgium,Belgium,13/03/2017,13/03/2017,11431406,295
Belgium,Belgium,14/03/2017,14/03/2017,11431406,299
Belgium,Belgium,15/03/2017,15/03/2017,11431406,288
Belgium,Belgium,16/03/2017,16/03/2017,11431406,307
Belgium,Belgium,17/03/2017,17/03/2017,11431406,297
Belgium,Belgium,18/03/2017,18/03/2017,11431406,290
Belgium,Belgium,19/03/2017,19/03/2017,11431406,260
Belgium,Belgium,20/03/2017,20/03/2017,11431406,317
Belgium,Belgium,21/03/2017,21/03/2017,11431406,303
Belgium,Belgium,22/03/2017,22/03/2017,11431406,291
Belgium,Belgium,23/03/2017,23/03/2017,11431406,346
Belgium,Belgium,24/03/2017,24/03/2017,11431406,287
Belgium,Belgium,25/03/2017,25/03/2017,11431406,300
Belgium,Belgium,26/03/2017,26/03/2017,11431406,262
Belgium,Belgium,27/03/2017,27/03/2017,11431406,256
Belgium,Belgium,28/03/2017,28/03/2017,11431406,330
Belgium,Belgium,29/03/2017,29/03/2017,11431406,290
