PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
GRC,1,2016,1,m,0,5,3,O,O
GRC,1,2016,1,m,5,5,1,O,O
GRC,1,2016,1,m,10,5,0,O,O
GRC,1,2016,1,m,15,5,0,O,O
GRC,1,2016,1,m,20,5,5,O,O
GRC,1,2016,1,m,25,5,3,O,O
GRC,1,2016,1,m,30,5,3,O,O
GRC,1,2016,1,m,35,5,7,O,O
GRC,1,2016,1,m,40,5,7,O,O
GRC,1,2016,1,m,45,5,30,O,O
GRC,1,2016,1,m,50,5,29,O,O
GRC,1,2016,1,m,55,5,60,O,O
GRC,1,2016,1,m,60,5,73,O,O
GRC,1,2016,1,m,65,5,111,O,O
GRC,1,2016,1,m,70,5,105,O,O
GRC,1,2016,1,m,75,5,193,O,O
GRC,1,2016,1,m,80,5,274,O,O
GRC,1,2016,1,m,85,5,229,O,O
GRC,1,2016,1,m,90,+,168,O,O
GRC,1,2016,1,m,TOT,.,1301,O,O
GRC,1,2016,1,m,UNK,.,0,O,O
GRC,1,2016,1,f,0,5,5,O,O
GRC,1,2016,1,f,5,5,0,O,O
GRC,1,2016,1,f,10,5,0,O,O
GRC,1,2016,1,f,15,5,0,O,O
GRC,1,2016,1,f,20,5,1,O,O
GRC,1,2016,1,f,25,5,1,O,O
GRC,1,2016,1,f,30,5,3,O,O
GRC,1,2016,1,f,35,5,4,O,O
GRC,1,2016,1,f,40,5,7,O,O
GRC,1,2016,1,f,45,5,17,O,O
GRC,1,2016,1,f,50,5,22,O,O
GRC,1,2016,1,f,55,5,22,O,O
GRC,1,2016,1,f,60,5,34,O,O
GRC,1,2016,1,f,65,5,53,O,O
GRC,1,2016,1,f,70,5,74,O,O
GRC,1,2016,1,f,75,5,170,O,O
GRC,1,2016,1,f,80,5,281,O,O
GRC,1,2016,1,f,85,5,329,O,O
GRC,1,2016,1,f,90,+,313,O,O
GRC,1,2016,1,f,TOT,.,1336,O,O
GRC,1,2016,1,f,UNK,.,0,O,O
GRC,1,2016,1,b,0,5,8,O,O
GRC,1,2016,1,b,5,5,1,O,O
GRC,1,2016,1,b,10,5,0,O,O
GRC,1,2016,1,b,15,5,0,O,O
GRC,1,2016,1,b,20,5,6,O,O
GRC,1,2016,1,b,25,5,4,O,O
GRC,1,2016,1,b,30,5,6,O,O
GRC,1,2016,1,b,35,5,11,O,O
GRC,1,2016,1,b,40,5,14,O,O
GRC,1,2016,1,b,45,5,47,O,O
GRC,1,2016,1,b,50,5,51,O,O
GRC,1,2016,1,b,55,5,82,O,O
GRC,1,2016,1,b,60,5,107,O,O
GRC,1,2016,1,b,65,5,164,O,O
GRC,1,2016,1,b,70,5,179,O,O
GRC,1,2016,1,b,75,5,363,O,O
GRC,1,2016,1,b,80,5,555,O,O
GRC,1,2016,1,b,85,5,558,O,O
GRC,1,2016,1,b,90,+,481,O,O
GRC,1,2016,1,b,TOT,.,2637,O,O
GRC,1,2016,1,b,UNK,.,0,O,O
GRC,1,2016,2,m,0,5,1,O,O
GRC,1,2016,2,m,5,5,0,O,O
GRC,1,2016,2,m,10,5,0,O,O
GRC,1,2016,2,m,15,5,2,O,O
GRC,1,2016,2,m,20,5,2,O,O
GRC,1,2016,2,m,25,5,2,O,O
GRC,1,2016,2,m,30,5,7,O,O
GRC,1,2016,2,m,35,5,3,O,O
GRC,1,2016,2,m,40,5,15,O,O
GRC,1,2016,2,m,45,5,30,O,O
GRC,1,2016,2,m,50,5,42,O,O
GRC,1,2016,2,m,55,5,69,O,O
GRC,1,2016,2,m,60,5,75,O,O
GRC,1,2016,2,m,65,5,84,O,O
GRC,1,2016,2,m,70,5,126,O,O
GRC,1,2016,2,m,75,5,193,O,O
GRC,1,2016,2,m,80,5,272,O,O
GRC,1,2016,2,m,85,5,259,O,O
GRC,1,2016,2,m,90,+,167,O,O
GRC,1,2016,2,m,TOT,.,1349,O,O
GRC,1,2016,2,m,UNK,.,0,O,O
GRC,1,2016,2,f,0,5,4,O,O
GRC,1,2016,2,f,5,5,0,O,O
GRC,1,2016,2,f,10,5,0,O,O
GRC,1,2016,2,f,15,5,0,O,O
GRC,1,2016,2,f,20,5,1,O,O
GRC,1,2016,2,f,25,5,1,O,O
GRC,1,2016,2,f,30,5,3,O,O
GRC,1,2016,2,f,35,5,9,O,O
GRC,1,2016,2,f,40,5,9,O,O
GRC,1,2016,2,f,45,5,13,O,O
GRC,1,2016,2,f,50,5,9,O,O
GRC,1,2016,2,f,55,5,24,O,O
GRC,1,2016,2,f,60,5,30,O,O
GRC,1,2016,2,f,65,5,55,O,O
GRC,1,2016,2,f,70,5,75,O,O
GRC,1,2016,2,f,75,5,138,O,O
GRC,1,2016,2,f,80,5,264,O,O
GRC,1,2016,2,f,85,5,367,O,O
GRC,1,2016,2,f,90,+,287,O,O
GRC,1,2016,2,f,TOT,.,1289,O,O
GRC,1,2016,2,f,UNK,.,0,O,O
GRC,1,2016,2,b,0,5,5,O,O
GRC,1,2016,2,b,5,5,0,O,O
GRC,1,2016,2,b,10,5,0,O,O
GRC,1,2016,2,b,15,5,2,O,O
GRC,1,2016,2,b,20,5,3,O,O
GRC,1,2016,2,b,25,5,3,O,O
GRC,1,2016,2,b,30,5,10,O,O
GRC,1,2016,2,b,35,5,12,O,O
GRC,1,2016,2,b,40,5,24,O,O
GRC,1,2016,2,b,45,5,43,O,O
GRC,1,2016,2,b,50,5,51,O,O
GRC,1,2016,2,b,55,5,93,O,O
GRC,1,2016,2,b,60,5,105,O,O
GRC,1,2016,2,b,65,5,139,O,O
GRC,1,2016,2,b,70,5,201,O,O
GRC,1,2016,2,b,75,5,331,O,O
GRC,1,2016,2,b,80,5,536,O,O
GRC,1,2016,2,b,85,5,626,O,O
GRC,1,2016,2,b,90,+,454,O,O
GRC,1,2016,2,b,TOT,.,2638,O,O
GRC,1,2016,2,b,UNK,.,0,O,O
GRC,1,2016,3,m,0,5,8,O,O
GRC,1,2016,3,m,5,5,4,O,O
GRC,1,2016,3,m,10,5,0,O,O
GRC,1,2016,3,m,15,5,1,O,O
GRC,1,2016,3,m,20,5,4,O,O
GRC,1,2016,3,m,25,5,4,O,O
GRC,1,2016,3,m,30,5,3,O,O
GRC,1,2016,3,m,35,5,10,O,O
GRC,1,2016,3,m,40,5,12,O,O
GRC,1,2016,3,m,45,5,27,O,O
GRC,1,2016,3,m,50,5,37,O,O
GRC,1,2016,3,m,55,5,67,O,O
GRC,1,2016,3,m,60,5,86,O,O
GRC,1,2016,3,m,65,5,109,O,O
GRC,1,2016,3,m,70,5,127,O,O
GRC,1,2016,3,m,75,5,200,O,O
GRC,1,2016,3,m,80,5,226,O,O
GRC,1,2016,3,m,85,5,243,O,O
GRC,1,2016,3,m,90,+,150,O,O
GRC,1,2016,3,m,TOT,.,1318,O,O
GRC,1,2016,3,m,UNK,.,0,O,O
GRC,1,2016,3,f,0,5,3,O,O
GRC,1,2016,3,f,5,5,2,O,O
GRC,1,2016,3,f,10,5,0,O,O
GRC,1,2016,3,f,15,5,0,O,O
GRC,1,2016,3,f,20,5,1,O,O
GRC,1,2016,3,f,25,5,2,O,O
GRC,1,2016,3,f,30,5,1,O,O
GRC,1,2016,3,f,35,5,2,O,O
GRC,1,2016,3,f,40,5,6,O,O
GRC,1,2016,3,f,45,5,18,O,O
GRC,1,2016,3,f,50,5,20,O,O
GRC,1,2016,3,f,55,5,28,O,O
GRC,1,2016,3,f,60,5,34,O,O
