PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
POL,1,2000,1,m,0,5,28,O,O
POL,1,2000,1,m,5,5,5,O,O
POL,1,2000,1,m,10,5,6,O,O
POL,1,2000,1,m,15,5,21,O,O
POL,1,2000,1,m,20,5,37,O,O
POL,1,2000,1,m,25,5,40,O,O
POL,1,2000,1,m,30,5,41,O,O
POL,1,2000,1,m,35,5,78,O,O
POL,1,2000,1,m,40,5,176,O,O
POL,1,2000,1,m,45,5,230,O,O
POL,1,2000,1,m,50,5,266,O,O
POL,1,2000,1,m,55,5,260,O,O
POL,1,2000,1,m,60,5,442,O,O
POL,1,2000,1,m,65,5,549,O,O
POL,1,2000,1,m,70,5,656,O,O
POL,1,2000,1,m,75,5,519,O,O
POL,1,2000,1,m,80,5,355,O,O
POL,1,2000,1,m,85,5,278,O,O
POL,1,2000,1,m,90,+,164,O,O
POL,1,2000,1,m,TOT,.,4151,O,O
POL,1,2000,1,m,UNK,.,0,O,O
POL,1,2000,1,f,0,5,35,O,O
POL,1,2000,1,f,5,5,2,O,O
POL,1,2000,1,f,10,5,5,O,O
POL,1,2000,1,f,15,5,9,O,O
POL,1,2000,1,f,20,5,9,O,O
POL,1,2000,1,f,25,5,7,O,O
POL,1,2000,1,f,30,5,13,O,O
POL,1,2000,1,f,35,5,27,O,O
POL,1,2000,1,f,40,5,60,O,O
POL,1,2000,1,f,45,5,97,O,O
POL,1,2000,1,f,50,5,111,O,O
POL,1,2000,1,f,55,5,108,O,O
POL,1,2000,1,f,60,5,176,O,O
POL,1,2000,1,f,65,5,318,O,O
POL,1,2000,1,f,70,5,498,O,O
POL,1,2000,1,f,75,5,630,O,O
POL,1,2000,1,f,80,5,525,O,O
POL,1,2000,1,f,85,5,704,O,O
POL,1,2000,1,f,90,+,428,O,O
POL,1,2000,1,f,TOT,.,3762,O,O
POL,1,2000,1,f,UNK,.,0,O,O
POL,1,2000,1,b,0,5,63,O,O
POL,1,2000,1,b,5,5,7,O,O
POL,1,2000,1,b,10,5,11,O,O
POL,1,2000,1,b,15,5,30,O,O
POL,1,2000,1,b,20,5,46,O,O
POL,1,2000,1,b,25,5,47,O,O
POL,1,2000,1,b,30,5,54,O,O
POL,1,2000,1,b,35,5,105,O,O
POL,1,2000,1,b,40,5,236,O,O
POL,1,2000,1,b,45,5,327,O,O
POL,1,2000,1,b,50,5,377,O,O
POL,1,2000,1,b,55,5,368,O,O
POL,1,2000,1,b,60,5,618,O,O
POL,1,2000,1,b,65,5,867,O,O
POL,1,2000,1,b,70,5,1154,O,O
POL,1,2000,1,b,75,5,1149,O,O
POL,1,2000,1,b,80,5,880,O,O
POL,1,2000,1,b,85,5,982,O,O
POL,1,2000,1,b,90,+,592,O,O
POL,1,2000,1,b,TOT,.,7913,O,O
POL,1,2000,1,b,UNK,.,0,O,O
POL,1,2000,2,m,0,5,39,O,O
