PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
TWN,1,2000,1,m,0,5,20,O,O
TWN,1,2000,1,m,5,5,7,O,O
TWN,1,2000,1,m,10,5,6,O,O
TWN,1,2000,1,m,15,5,16,O,O
TWN,1,2000,1,m,20,5,20,O,O
TWN,1,2000,1,m,25,5,27,O,O
TWN,1,2000,1,m,30,5,35,O,O
TWN,1,2000,1,m,35,5,58,O,O
TWN,1,2000,1,m,40,5,80,O,O
TWN,1,2000,1,m,45,5,83,O,O
TWN,1,2000,1,m,50,5,79,O,O
TWN,1,2000,1,m,55,5,94,O,O
TWN,1,2000,1,m,60,5,101,O,O
TWN,1,2000,1,m,65,5,171,O,O
TWN,1,2000,1,m,70,5,236,O,O
TWN,1,2000,1,m,75,5,229,O,O
TWN,1,2000,1,m,80,5,174,O,O
TWN,1,2000,1,m,85,5,101,O,O
TWN,1,2000,1,m,90,5,37,O,O
TWN,1,2000,1,m,95,5,19,O,O
TWN,1,2000,1,m,100,+,1,O,O
TWN,1,2000,1,m,TOT,.,1594,O,O
TWN,1,2000,1,f,0,5,20,O,O
TWN,1,2000,1,f,5,5,3,O,O
TWN,1,2000,1,f,10,5,4,O,O
TWN,1,2000,1,f,15,5,9,O,O
TWN,1,2000,1,f,20,5,5,O,O
TWN,1,2000,1,f,25,5,3,O,O
TWN,1,2000,1,f,30,5,11,O,O
TWN,1,2000,1,f,35,5,24,O,O
TWN,1,2000,1,f,40,5,25,O,O
TWN,1,2000,1,f,45,5,29,O,O
TWN,1,2000,1,f,50,5,28,O,O
TWN,1,2000,1,f,55,5,55,O,O
TWN,1,2000,1,f,60,5,75,O,O
TWN,1,2000,1,f,65,5,97,O,O
TWN,1,2000,1,f,70,5,112,O,O
TWN,1,2000,1,f,75,5,153,O,O
TWN,1,2000,1,f,80,5,151,O,O
TWN,1,2000,1,f,85,5,108,O,O
TWN,1,2000,1,f,90,5,95,O,O
TWN,1,2000,1,f,95,5,24,O,O
TWN,1,2000,1,f,100,+,7,O,O
TWN,1,2000,1,f,TOT,.,1038,O,O
TWN,1,2000,1,b,0,5,40,O,O
TWN,1,2000,1,b,5,5,10,O,O
TWN,1,2000,1,b,10,5,10,O,O
TWN,1,2000,1,b,15,5,25,O,O
TWN,1,2000,1,b,20,5,25,O,O
TWN,1,2000,1,b,25,5,30,O,O
TWN,1,2000,1,b,30,5,46,O,O
TWN,1,2000,1,b,35,5,82,O,O
TWN,1,2000,1,b,40,5,105,O,O
TWN,1,2000,1,b,45,5,112,O,O
TWN,1,2000,1,b,50,5,107,O,O
TWN,1,2000,1,b,55,5,149,O,O
TWN,1,2000,1,b,60,5,176,O,O
TWN,1,2000,1,b,65,5,268,O,O
TWN,1,2000,1,b,70,5,348,O,O
TWN,1,2000,1,b,75,5,382,O,O
TWN,1,2000,1,b,80,5,325,O,O
TWN,1,2000,1,b,85,5,209,O,O
TWN,1,2000,1,b,90,5,132,O,O
TWN,1,2000,1,b,95,5,43,O,O
TWN,1,2000,1,b,100,+,8,O,O
TWN,1,2000,1,b,TOT,.,2632,O,O
TWN,1,2000,2,m,0,5,26,O,O
TWN,1,2000,2,m,5,5,6,O,O
TWN,1,2000,2,m,10,5,4,O,O
TWN,1,2000,2,m,15,5,18,O,O
TWN,1,2000,2,m,20,5,35,O,O
TWN,1,2000,2,m,25,5,24,O,O
TWN,1,2000,2,m,30,5,30,O,O
TWN,1,2000,2,m,35,5,33,O,O
TWN,1,2000,2,m,40,5,60,O,O
TWN,1,2000,2,m,45,5,90,O,O
TWN,1,2000,2,m,50,5,82,O,O
TWN,1,2000,2,m,55,5,100,O,O
TWN,1,2000,2,m,60,5,117,O,O
TWN,1,2000,2,m,65,5,154,O,O
TWN,1,2000,2,m,70,5,233,O,O
TWN,1,2000,2,m,75,5,200,O,O
TWN,1,2000,2,m,80,5,144,O,O
TWN,1,2000,2,m,85,5,85,O,O
TWN,1,2000,2,m,90,5,47,O,O
TWN,1,2000,2,m,95,5,10,O,O
TWN,1,2000,2,m,100,+,0,O,O
TWN,1,2000,2,m,TOT,.,1498,O,O
TWN,1,2000,2,f,0,5,16,O,O
TWN,1,2000,2,f,5,5,3,O,O
TWN,1,2000,2,f,10,5,2,O,O
TWN,1,2000,2,f,15,5,4,O,O
TWN,1,2000,2,f,20,5,11,O,O
TWN,1,2000,2,f,25,5,7,O,O
TWN,1,2000,2,f,30,5,20,O,O
TWN,1,2000,2,f,35,5,15,O,O
TWN,1,2000,2,f,40,5,22,O,O
TWN,1,2000,2,f,45,5,34,O,O
TWN,1,2000,2,f,50,5,28,O,O
TWN,1,2000,2,f,55,5,47,O,O
TWN,1,2000,2,f,60,5,68,O,O
TWN,1,2000,2,f,65,5,100,O,O
TWN,1,2000,2,f,70,5,125,O,O
TWN,1,2000,2,f,75,5,170,O,O
TWN,1,2000,2,f,80,5,146,O,O
TWN,1,2000,2,f,85,5,105,O,O
TWN,1,2000,2,f,90,5,68,O,O
TWN,1,2000,2,f,95,5,18,O,O
