country,region,region_code,start_date,end_date,year,week,population,total_deaths
Mexico,Mexico City,MX-CMX,04/01/2016,10/01/2016,2016,1,8918653,1520
Mexico,Mexico City,MX-CMX,11/01/2016,17/01/2016,2016,2,8918653,1575
Mexico,Mexico City,MX-CMX,18/01/2016,24/01/2016,2016,3,8918653,1673
Mexico,Mexico City,MX-CMX,25/01/2016,31/01/2016,2016,4,8918653,1715
Mexico,Mexico City,MX-CMX,01/02/2016,07/02/2016,2016,5,8918653,1724
Mexico,Mexico City,MX-CMX,08/02/2016,14/02/2016,2016,6,8918653,1726
Mexico,Mexico City,MX-CMX,15/02/2016,21/02/2016,2016,7,8918653,1819
Mexico,Mexico City,MX-CMX,22/02/2016,28/02/2016,2016,8,8918653,1798
Mexico,Mexico City,MX-CMX,29/02/2016,06/03/2016,2016,9,8918653,1606
Mexico,Mexico City,MX-CMX,07/03/2016,13/03/2016,2016,10,8918653,1617
Mexico,Mexico City,MX-CMX,14/03/2016,20/03/2016,2016,11,8918653,1617
Mexico,Mexico City,MX-CMX,21/03/2016,27/03/2016,2016,12,8918653,1377
Mexico,Mexico City,MX-CMX,28/03/2016,03/04/2016,2016,13,8918653,1380
Mexico,Mexico City,MX-CMX,04/04/2016,10/04/2016,2016,14,8918653,1457
Mexico,Mexico City,MX-CMX,11/04/2016,17/04/2016,2016,15,8918653,1387
Mexico,Mexico City,MX-CMX,18/04/2016,24/04/2016,2016,16,8918653,1330
Mexico,Mexico City,MX-CMX,25/04/2016,01/05/2016,2016,17,8918653,1314
Mexico,Mexico City,MX-CMX,02/05/2016,08/05/2016,2016,18,8918653,1376
Mexico,Mexico City,MX-CMX,09/05/2016,15/05/2016,2016,19,8918653,1324
Mexico,Mexico City,MX-CMX,16/05/2016,22/05/2016,2016,20,8918653,1275
Mexico,Mexico City,MX-CMX,23/05/2016,29/05/2016,2016,21,8918653,1335
Mexico,Mexico City,MX-CMX,30/05/2016,05/06/2016,2016,22,8918653,1283
Mexico,Mexico City,MX-CMX,06/06/2016,12/06/2016,2016,23,8918653,1396
Mexico,Mexico City,MX-CMX,13/06/2016,19/06/2016,2016,24,8918653,1301
Mexico,Mexico City,MX-CMX,20/06/2016,26/06/2016,2016,25,8918653,1334
Mexico,Mexico City,MX-CMX,27/06/2016,03/07/2016,2016,26,8918653,1297
Mexico,Mexico City,MX-CMX,04/07/2016,10/07/2016,2016,27,8918653,1376
Mexico,Mexico City,MX-CMX,11/07/2016,17/07/2016,2016,28,8918653,1301
Mexico,Mexico City,MX-CMX,18/07/2016,24/07/2016,2016,29,8918653,1293
Mexico,Mexico City,MX-CMX,25/07/2016,31/07/2016,2016,30,8918653,1322
Mexico,Mexico City,MX-CMX,01/08/2016,07/08/2016,2016,31,8918653,1248
Mexico,Mexico City,MX-CMX,08/08/2016,14/08/2016,2016,32,8918653,1216
Mexico,Mexico City,MX-CMX,15/08/2016,21/08/2016,2016,33,8918653,1289
Mexico,Mexico City,MX-CMX,22/08/2016,28/08/2016,2016,34,8918653,1345
Mexico,Mexico City,MX-CMX,29/08/2016,04/09/2016,2016,35,8918653,1308
Mexico,Mexico City,MX-CMX,05/09/2016,11/09/2016,2016,36,8918653,1319
Mexico,Mexico City,MX-CMX,12/09/2016,18/09/2016,2016,37,8918653,1310
Mexico,Mexico City,MX-CMX,19/09/2016,25/09/2016,2016,38,8918653,1220
Mexico,Mexico City,MX-CMX,26/09/2016,02/10/2016,2016,39,8918653,1353
Mexico,Mexico City,MX-CMX,03/10/2016,09/10/2016,2016,40,8918653,1353
Mexico,Mexico City,MX-CMX,10/10/2016,16/10/2016,2016,41,8918653,1322
Mexico,Mexico City,MX-CMX,17/10/2016,23/10/2016,2016,42,8918653,1322
Mexico,Mexico City,MX-CMX,24/10/2016,30/10/2016,2016,43,8918653,1353
Mexico,Mexico City,MX-CMX,31/10/2016,06/11/2016,2016,44,8918653,1331
Mexico,Mexico City,MX-CMX,07/11/2016,13/11/2016,2016,45,8918653,1438
Mexico,Mexico City,MX-CMX,14/11/2016,20/11/2016,2016,46,8918653,1359
Mexico,Mexico City,MX-CMX,21/11/2016,27/11/2016,2016,47,8918653,1529
Mexico,Mexico City,MX-CMX,28/11/2016,04/12/2016,2016,48,8918653,1560
Mexico,Mexico City,MX-CMX,05/12/2016,11/12/2016,2016,49,8918653,1548
Mexico,Mexico City,MX-CMX,12/12/2016,18/12/2016,2016,50,8918653,1444
Mexico,Mexico City,MX-CMX,19/12/2016,25/12/2016,2016,51,8918653,1433
Mexico,Mexico City,MX-CMX,26/12/2016,01/01/2017,2016,52,8918653,1509
Mexico,Mexico City,MX-CMX,02/01/2017,08/01/2017,2017,1,8918653,1734
Mexico,Mexico City,MX-CMX,09/01/2017,15/01/2017,2017,2,8918653,1588
Mexico,Mexico City,MX-CMX,16/01/2017,22/01/2017,2017,3,8918653,1507
Mexico,Mexico City,MX-CMX,23/01/2017,29/01/2017,2017,4,8918653,1508
Mexico,Mexico City,MX-CMX,30/01/2017,05/02/2017,2017,5,8918653,1607
Mexico,Mexico City,MX-CMX,06/02/2017,12/02/2017,2017,6,8918653,1515
Mexico,Mexico City,MX-CMX,13/02/2017,19/02/2017,2017,7,8918653,1629
Mexico,Mexico City,MX-CMX,20/02/2017,26/02/2017,2017,8,8918653,1652
Mexico,Mexico City,MX-CMX,27/02/2017,05/03/2017,2017,9,8918653,1655
Mexico,Mexico City,MX-CMX,06/03/2017,12/03/2017,2017,10,8918653,1637
Mexico,Mexico City,MX-CMX,13/03/2017,19/03/2017,2017,11,8918653,1665
Mexico,Mexico City,MX-CMX,20/03/2017,26/03/2017,2017,12,8918653,1552
Mexico,Mexico City,MX-CMX,27/03/2017,02/04/2017,2017,13,8918653,1545
Mexico,Mexico City,MX-CMX,03/04/2017,09/04/2017,2017,14,8918653,1534
Mexico,Mexico City,MX-CMX,10/04/2017,16/04/2017,2017,15,8918653,1385
Mexico,Mexico City,MX-CMX,17/04/2017,23/04/2017,2017,16,8918653,1390
Mexico,Mexico City,MX-CMX,24/04/2017,30/04/2017,2017,17,8918653,1455
Mexico,Mexico City,MX-CMX,01/05/2017,07/05/2017,2017,18,8918653,1372
Mexico,Mexico City,MX-CMX,08/05/2017,14/05/2017,2017,19,8918653,1434
Mexico,Mexico City,MX-CMX,15/05/2017,21/05/2017,2017,20,8918653,1454
Mexico,Mexico City,MX-CMX,22/05/2017,28/05/2017,2017,21,8918653,1331
Mexico,Mexico City,MX-CMX,29/05/2017,04/06/2017,2017,22,8918653,1280
Mexico,Mexico City,MX-CMX,05/06/2017,11/06/2017,2017,23,8918653,1361
Mexico,Mexico City,MX-CMX,12/06/2017,18/06/2017,2017,24,8918653,1313
Mexico,Mexico City,MX-CMX,19/06/2017,25/06/2017,2017,25,8918653,1374
Mexico,Mexico City,MX-CMX,26/06/2017,02/07/2017,2017,26,8918653,1352
