AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.3%
State,Alabama,All,2019-20,41,3.8,0,36,940,96.8%
State,Alabama,All,2019-20,42,4.5,0,45,"1,011",> 100%
State,Alabama,All,2019-20,43,4.4,2,42,999,> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,"1,053",> 100%
State,Alabama,All,2019-20,46,6.1,0,67,"1,098",> 100%
State,Alabama,All,2019-20,47,4.3,3,43,"1,060",> 100%
State,Alabama,All,2019-20,48,7.6,2,78,"1,049",> 100%
State,Alabama,All,2019-20,49,5.3,2,55,"1,072",> 100%
State,Alabama,All,2019-20,50,5.7,4,59,"1,115",> 100%
State,Alabama,All,2019-20,51,5.5,2,59,"1,113",> 100%
State,Alabama,All,2019-20,52,5.5,2,56,"1,058",> 100%
State,Alabama,All,2019-20,1,6.6,5,67,"1,088",> 100%
State,Alabama,All,2019-20,2,8.1,9,83,"1,135",> 100%
State,Alabama,All,2019-20,3,6.6,7,63,"1,066",> 100%
State,Alabama,All,2019-20,4,6.8,7,66,"1,066",> 100%
State,Alabama,All,2019-20,5,6.6,15,54,"1,039",> 100%
State,Alabama,All,2019-20,6,6.7,11,63,"1,098",> 100%
State,Alabama,All,2019-20,7,7.8,6,78,"1,080",> 100%
State,Alabama,All,2019-20,8,7.2,4,73,"1,070",> 100%
State,Alabama,All,2019-20,9,7.2,14,68,"1,145",> 100%
State,Alabama,All,2019-20,10,6.7,12,56,"1,015",> 100%
State,Alabama,All,2019-20,11,5.8,6,52,993,> 100%
State,Alabama,All,2019-20,12,7.7,5,68,943,97.1%
State,Alabama,All,2019-20,13,7.4,7,57,863,88.8%
State,Alabama,All,2019-20,14,5.3,3,37,751,77.3%
State,Alabama,All,2019-20,15,6.1,2,19,343,35.3%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.1%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,101,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,96,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.4,1,12,105,> 100%
State,Alaska,All,2019-20,1,5.6,1,4,90,> 100%
State,Alaska,All,2019-20,2,3.8,0,4,106,> 100%
State,Alaska,All,2019-20,3,4,0,4,99,> 100%
State,Alaska,All,2019-20,4,2,0,2,98,> 100%
State,Alaska,All,2019-20,5,4.5,1,3,88,> 100%
State,Alaska,All,2019-20,6,4.4,1,3,91,> 100%
State,Alaska,All,2019-20,7,0,0,0,87,> 100%
State,Alaska,All,2019-20,8,4.7,0,4,86,> 100%
State,Alaska,All,2019-20,9,7.3,1,5,82,> 100%
State,Alaska,All,2019-20,10,2.7,0,2,73,89.8%
State,Alaska,All,2019-20,11,9,0,7,78,95.9%
State,Alaska,All,2019-20,12,12.2,0,6,49,60.3%
State,Alaska,All,2019-20,13,13.8,0,8,58,71.3%
State,Alaska,All,2019-20,14,11.9,0,5,42,51.6%
State,Alaska,All,2019-20,15,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2019-20,40,4.7,0,52,"1,110",> 100%
State,Arizona,All,2019-20,41,4.6,2,49,"1,114",> 100%
State,Arizona,All,2019-20,42,4.6,2,51,"1,140",> 100%
State,Arizona,All,2019-20,43,5.3,1,53,"1,012",97.7%
State,Arizona,All,2019-20,44,5.6,1,63,"1,133",> 100%
State,Arizona,All,2019-20,45,4.9,0,61,"1,244",> 100%
State,Arizona,All,2019-20,46,6.2,0,73,"1,175",> 100%
State,Arizona,All,2019-20,47,5.4,1,63,"1,191",> 100%
State,Arizona,All,2019-20,48,5.1,2,55,"1,113",> 100%
State,Arizona,All,2019-20,49,5,5,55,"1,192",> 100%
State,Arizona,All,2019-20,50,7.2,3,81,"1,162",> 100%
State,Arizona,All,2019-20,51,5.7,3,62,"1,150",> 100%
State,Arizona,All,2019-20,52,5,0,60,"1,203",> 100%
State,Arizona,All,2019-20,1,6.8,4,82,"1,271",> 100%
State,Arizona,All,2019-20,2,7,8,86,"1,349",> 100%
State,Arizona,All,2019-20,3,5.5,7,62,"1,255",> 100%
State,Arizona,All,2019-20,4,8,11,88,"1,233",> 100%
State,Arizona,All,2019-20,5,6.5,12,69,"1,237",> 100%
State,Arizona,All,2019-20,6,7,9,77,"1,220",> 100%
State,Arizona,All,2019-20,7,7.8,14,85,"1,264",> 100%
State,Arizona,All,2019-20,8,6.8,10,76,"1,273",> 100%
