AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2020-21,40,8.6,15.4,0,97,116,"1,122",> 100%
State,Alabama,All,2020-21,41,8.8,15.7,1,107,141,"1,230",> 100%
State,Alabama,All,2020-21,42,7.8,15.2,0,94,132,"1,205",> 100%
State,Alabama,All,2020-21,43,9.4,17.1,1,108,131,"1,160",> 100%
State,Alabama,All,2020-21,44,9.4,16.4,0,112,135,"1,190",> 100%
State,Alabama,All,2020-21,45,8.4,15.6,0,108,150,"1,292",> 100%
State,Alabama,All,2020-21,46,9.5,18.5,0,124,186,"1,299",> 100%
State,Alabama,All,2020-21,47,8.7,17.8,2,109,175,"1,283",> 100%
State,Alabama,All,2020-21,48,8.8,19.6,2,117,209,"1,349",> 100%
State,Alabama,All,2020-21,49,10.3,23.6,1,139,264,"1,359",> 100%
State,Alabama,All,2020-21,50,12.6,27.5,2,201,378,"1,612",> 100%
State,Alabama,All,2020-21,51,13.8,29.2,1,221,397,"1,607",> 100%
State,Alabama,All,2020-21,52,12.5,31.7,1,202,458,"1,624",> 100%
State,Alabama,All,2020-21,53,14.2,32.1,5,249,507,"1,786",> 100%
State,Alabama,All,2020-21,1,14.6,34.9,1,253,536,"1,734",> 100%
State,Alabama,All,2020-21,2,16.9,37,2,286,570,"1,702",> 100%
State,Alabama,All,2020-21,3,15.3,36.6,2,225,496,"1,488",> 100%
State,Alabama,All,2020-21,4,16.2,36.2,1,207,421,"1,282",> 100%
State,Alabama,All,2020-21,5,13,28.9,2,134,264,"1,047",> 100%
State,Alabama,All,2020-21,6,11.2,23.6,1,84,151,758,78%
State,Alabama,All,2020-21,7,9.3,19.4,1,30,55,335,34.50%
State,Alaska,All,2020-21,40,1.3,2.5,0,1,1,80,98.40%
State,Alaska,All,2020-21,41,9.2,10.9,0,11,6,119,> 100%
State,Alaska,All,2020-21,42,5.8,13.5,0,6,10,104,> 100%
State,Alaska,All,2020-21,43,8.7,10.6,0,9,6,104,> 100%
State,Alaska,All,2020-21,44,9.9,13.5,0,11,10,111,> 100%
State,Alaska,All,2020-21,45,8,9.8,0,9,7,112,> 100%
State,Alaska,All,2020-21,46,13.6,16.1,0,16,15,118,> 100%
State,Alaska,All,2020-21,47,6.8,14.4,0,8,15,118,> 100%
State,Alaska,All,2020-21,48,17.4,23.1,0,21,22,121,> 100%
State,Alaska,All,2020-21,49,18.6,29.7,1,21,31,118,> 100%
